Start_Date,Start_Time,Stop_Date,Stop_Time,Seq.Program,Site,Treatment,Core,Valve,Mass_g,Initials,Notes1,Notes2,time,date,error,error,edits made
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,63,10,296.93,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,65,11,336.33,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,51,12,262.16,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,17,13,305.56,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,11,14,317.47,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,46,15,266.39,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,,16,,CGN,,,,,,,
2019-07-03,13:25,2019-07-03,9:19,,SR,drydown,1,1,273.95,CGN,CO2 level ignited at 516ppm,,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,drydown,62,2,333.87,CGN,Stopped at step #6,,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,drydown,29,3,269.74,CGN,,,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,drydown,13,4,273.31,CGN,"Didn't register, will transfer to round 3",,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,drydown,,,,CGN,,,0,,0,0,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,72,1,330.09,CGN,CO2 level: 499ppm,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,3,2,260.44,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,14,3,243.03,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,48,4,269.76,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,73,5,339.5,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,4,6,274.27,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,2,7,268.77,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,15,8,271.52,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,5,9,263.79,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,87,10,289.33,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,9,11,248.47,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,10,12,269.06,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,54,13,306.6,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,39,14,298.99,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,37,15,311.51,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,drydown,,16,,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,35,1,289.67,CGN,CO2 level: 514ppm,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,83,2,248.16,CGN,Stopped at step#7 (10:26AM),,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,26,3,292.81,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,75,4,314.36,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,59,5,308.79,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,68,6,284.74,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,74,7,315.23,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,drydown,36,8,292.19,CGN,,,,,,,
