"Row.names"	"coreID"	"depth"	"Site"	"length"	"location"	"drying"	"rep"	"saturation"	"Unassigned.__"	"k__Archaea.p__Crenarchaeota"	"k__Archaea.p__Euryarchaeota"	"k__Archaea.p__.Parvarchaeota."	"k__Bacteria.__"	"k__Bacteria.p__"	"k__Bacteria.p__AD3"	"k__Bacteria.p__Acidobacteria"	"k__Bacteria.p__Actinobacteria"	"k__Bacteria.p__Armatimonadetes"	"k__Bacteria.p__BHI80.139"	"k__Bacteria.p__BRC1"	"k__Bacteria.p__Bacteroidetes"	"k__Bacteria.p__Chlamydiae"	"k__Bacteria.p__Chlorobi"	"k__Bacteria.p__Chloroflexi"	"k__Bacteria.p__Cyanobacteria"	"k__Bacteria.p__Elusimicrobia"	"k__Bacteria.p__FBP"	"k__Bacteria.p__FCPU426"	"k__Bacteria.p__Fibrobacteres"	"k__Bacteria.p__Firmicutes"	"k__Bacteria.p__Fusobacteria"	"k__Bacteria.p__GAL15"	"k__Bacteria.p__GN02"	"k__Bacteria.p__GN04"	"k__Bacteria.p__GOUTA4"	"k__Bacteria.p__Gemmatimonadetes"	"k__Bacteria.p__Kazan.3B.28"	"k__Bacteria.p__Lentisphaerae"	"k__Bacteria.p__MVP.21"	"k__Bacteria.p__NC10"	"k__Bacteria.p__NKB19"	"k__Bacteria.p__Nitrospirae"	"k__Bacteria.p__OC31"	"k__Bacteria.p__OD1"	"k__Bacteria.p__OP1"	"k__Bacteria.p__OP11"	"k__Bacteria.p__OP3"	"k__Bacteria.p__OP8"	"k__Bacteria.p__PAUC34f"	"k__Bacteria.p__Planctomycetes"	"k__Bacteria.p__Proteobacteria"	"k__Bacteria.p__SBR1093"	"k__Bacteria.p__SC4"	"k__Bacteria.p__SR1"	"k__Bacteria.p__Spirochaetes"	"k__Bacteria.p__TM6"	"k__Bacteria.p__TM7"	"k__Bacteria.p__Tenericutes"	"k__Bacteria.p__Verrucomicrobia"	"k__Bacteria.p__WPS.2"	"k__Bacteria.p__WS1"	"k__Bacteria.p__WS2"	"k__Bacteria.p__WS3"	"k__Bacteria.p__WS5"	"k__Bacteria.p__ZB3"	"k__Bacteria.p__.Caldithrix."	"k__Bacteria.p__.Thermi."
"13"	"DOC_013"	"C65"	"0-5cm"	"CPCRW"	"30d"	"low"	"CW"	"r3"	"saturated"	0	0	0	0	0	0	0	0.142857142857143	0.428571428571429	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0
"14"	"DOC_014"	"C66"	"0-5cm"	"CPCRW"	"30d"	"low"	"CW"	"r2"	"saturated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"DOC_015"	"C69"	"0-5cm"	"CPCRW"	"30d"	"low"	"CW"	"r1"	"saturated"	0	0.000904831152043949	0	0	0.0018096623040879	0	0.000161576991436419	0.201615769914364	0.0751009856196478	0.00271449345613185	0	0.000484730974309258	0.0492486669898207	0.000452415576021974	0.000646307965745678	0.0241072871223138	0.00206818549038617	0	0	0	0.000193892389723703	0.0185167232186137	0	0	0	0	0	0.0247212796897722	0	0	0.000226207788010987	0	0	0.00933915010502505	0	0.000387784779447407	0	0.000129261593149136	0.000323153982872839	0	0	0.0454354499919212	0.333430279528195	0	0	0	0	0.00122798513491679	0.000969461948618517	0	0.203360801421878	0	0	0.000193892389723703	0.00222976248182259	0	0	0	0
"16"	"DOC_016"	"C50"	"0-5cm"	"CPCRW"	"30d"	"low"	"FAD"	"r1"	"saturated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0
"17"	"DOC_017"	"C44"	"0-5cm"	"CPCRW"	"30d"	"low"	"FAD"	"r3"	"saturated"	0	0	0	0	0	0	0	0	0.181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	"DOC_018"	"C56"	"0-5cm"	"CPCRW"	"30d"	"low"	"FAD"	"r4"	"saturated"	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	"DOC_019"	"C20"	"0-5cm"	"CPCRW"	"30d"	"up"	"CW"	"r3"	"saturated"	0	0	0	0	0.00372080203955075	0	0.00664921105216013	0.0761730861985806	0.0824088748019017	0.00547784744711638	0	0	0.0521601322951836	0.000310066836629229	0.000310066836629229	0.00599462550816509	0.00137807482946324	0.000999104251360849	0.000585681802521877	0	0	0.0223248122373045	0	0	0	0	0	0.0315579135947082	0	0	0	0	0	0.000413422448838972	0	0.000723489285468201	0	0	0.000103355612209743	0	0	0.0177427134293392	0.490663543030387	0	0	0	0	0.000137807482946324	0.000620133673258458	0	0.192999379866327	0.00582236615448219	0	0	0.000723489285468201	0	0	0	0
"20"	"DOC_020"	"C3"	"0-5cm"	"CPCRW"	"30d"	"up"	"CW"	"r4"	"saturated"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"DOC_021"	"C9"	"0-5cm"	"CPCRW"	"30d"	"up"	"CW"	"r2"	"saturated"	0	0.0069501118862709	0.000210609451099118	0	0.00268527050151376	0.000710806897459523	0	0.034513623798868	0.211478215084902	0	0	0	0.0109253652757668	0	0	0.0123206528892984	0.0134000263261814	0	0	0	0	0.0537054100302751	0	0	0	0	0	0.00931946821113597	0	0	0	0	0	0.00344872976174806	0	0.000210609451099118	0	0.000368566539423457	0	0	0	0.0172173226273529	0.608608661313676	0	0	0	0	0.00100039489272081	0	0.000500197446360405	0.00916151112281164	0	0	0	0	0	0	0	0.00326444649203633
"22"	"DOC_022"	"C6"	"0-5cm"	"CPCRW"	"30d"	"up"	"FAD"	"r1"	"saturated"	0	0.00791452314998021	0	0	0.00273710592270149	0	0	0.0171811106714154	0.344413665743306	0	0	0	0.00659543595831684	0	0	0.00445191927186387	6.59543595831684e-05	0	0	0	0	0.0566218177021501	0	0	0	0	0	0.00191267642791189	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00728795673394011	0.544354306819681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00646352723915051
