,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
13,7.69,0,0.81,0.11,Impurity,Weak,,,42,4.89,0.1,2.18,1.68,Compound,None,,,71,3.9,0,4.3,0.35,Impurity,Weak,,,100,3.39,0.1,3.46,2.14,Artifact,Weak,,,129,2.68,0.1,1.34,2.02,Solvent,Weak + C13_Sat,,,158,2.09,0.1,3.06,3.05,Compound,None,,,187,1.02,0,2.37,1,Impurity,None,,
14,7.4,0,3.15,0.36,Artifact,Weak,,,43,4.88,0.3,2.08,8.69,Compound,None,,,72,3.88,0,4.02,0.48,Impurity,Weak,,,101,3.26,0.1,2.42,1.8,Artifact,Weak,,,130,2.67,0.3,1.65,6.85,Solvent,Weak + C13_Sat,,,159,2.08,0,1.22,0.29,Impurity,Weak,,,188,1.01,0,1.5,0.36,Impurity,None,,
15,7.38,0,7.39,1.11,Impurity,Weak,,,44,4.87,0.3,2.08,8.88,Compound,None,,,73,3.86,0,1.36,0.21,Impurity,Weak,,,102,3.25,0.1,2.9,2.13,Artifact,Weak,,,131,2.67,0.4,1.63,8.72,Solvent,Weak + C13_Sat,,,160,2.08,0,4.66,1.47,Compound,None,,,189,1,0,2.03,0.7,Impurity,None,,
16,7.26,0,8.88,1.72,Impurity,None,,,45,4.83,0.2,5.53,12.3,Compound,None,,,74,3.78,0,2.68,0.71,Impurity,None,,,103,3.24,0,3.02,2.05,Artifact,Weak,,,132,2.66,0.3,1.42,5.27,Solvent,Weak + C13_Sat,,,161,2.06,0,2.71,1.2,Impurity,None,,,190,1,0,1.22,0.48,Impurity,None,,
17,7.17,0,0.62,0.05,Artifact,Weak,,,46,4.82,0.1,4.44,8.11,Compound,None,,,75,3.74,0,3.4,0.51,Impurity,Weak,,,104,3.23,0.1,2.82,3.13,Artifact,Weak,,,133,2.66,0.1,1.3,1.82,Solvent,Weak + C13_Sat,,,162,2.06,0,1.58,0.39,Impurity,None,,,191,1,0,1.51,0.11,Artifact,Weak,,
18,6.89,0,1.33,0.14,Artifact,Weak,,,47,4.79,0.1,308.68,363.73,Compound,None,,,76,3.67,0.1,2.48,2.34,Compound,None,,,105,3.22,0,2.17,0.79,Artifact,Weak,,,134,2.56,0,0.96,0.32,Artifact,Weak,,,163,1.97,0,1.04,0.09,Artifact,Weak,,,192,0.98,0,1.08,0.42,Impurity,None,,
19,6.75,0,10.41,1.33,Impurity,Weak,,,48,4.77,0.1,3.86,6.2,Compound,None,,,77,3.66,0.1,2.71,2.55,Compound,None,,,106,3.22,0,2.61,1.36,Artifact,Weak,,,135,2.56,0.2,27.38,71.03,Artifact,Weak,,,164,1.96,0,1.3,0.1,Artifact,Weak,,,193,0.92,0,1,0.09,Artifact,Weak,,
20,6.69,0,5.18,0.54,Artifact,Weak,,,49,4.75,0.3,11.29,46.41,Compound,None,,,78,3.65,0.1,2.58,1.83,Compound,None,,,107,3.21,0,2.46,0.95,Artifact,Weak,,,136,2.54,0.4,12.08,64.08,Artifact,Weak,,,165,1.85,0.3,13.83,57.37,Compound,None,,,194,0.86,0.1,47.59,66.77,Compound,None,,
21,6.57,0.1,3.48,3.42,Compound,None,,,50,4.72,0,1.07,0.1,Artifact,Weak,,,79,3.65,0.1,3.93,5.7,Compound,None,,,108,3.16,0,2.57,1.01,Artifact,Weak,,,137,2.52,0.8,6.11,63,Solvent,Weak,,,166,1.82,0,1.47,0.4,Impurity,None,,,195,0.85,0.1,2.61,2,Compound,None,,
22,6.56,0.1,3.74,4.23,Compound,None,,,51,4.67,0,6.01,0.65,Artifact,Weak,,,80,3.64,0.1,2.71,2.31,Compound,None,,,109,3.15,0,3.06,1.16,Artifact,Weak,,,138,2.52,0.5,1.7,11.85,Solvent,Weak,,,167,1.81,0,1.27,0.29,Impurity,Weak,,,196,0.84,0,2.68,0.77,Compound,None,,
23,6.23,0,2.41,0.14,Artifact,Weak,,,52,4.62,0,10.58,4.64,Compound,None,,,81,3.64,0.1,2.71,3.1,Compound,None,,,110,3.14,0.1,4.08,7.63,Artifact,Weak,,,139,2.51,22.7,1.36,389.08,Solvent,None,,,168,1.77,0,2.98,1.21,Impurity,None,,,197,0.07,0,1.87,0.25,Impurity,Weak,,
24,6.22,0,0.97,0.08,Artifact,Weak,,,53,4.59,0.1,3.74,6.98,Compound,None,,,82,3.63,0.1,3.13,3.96,Compound,None,,,111,3.13,0.1,3.65,4.45,Artifact,Weak,,,140,2.5,57,1.68,1279.12,Solvent,None,,,169,1.75,0,1.47,0.73,Impurity,None,,,198,-0.06,0,0.92,0.05,Artifact,Weak,,
25,6.2,0.1,2.95,3.08,Compound,None,,,54,4.58,0.2,3.93,7.96,Compound,None,,,83,3.62,0,2,1.15,Impurity,None,,,112,3.12,0,2.79,1.47,Artifact,Weak,,,141,2.5,83.7,1.57,1731.27,Solvent,None,,,170,1.48,0,20.62,4.41,Compound,None,,,,,,,,,,,
26,6.19,0.1,3.32,3.98,Compound,None,,,55,4.48,0,2.71,1.38,Compound,None,,,84,3.61,0,1.34,0.13,Artifact,Weak,,,113,3.11,0.1,2.18,3.75,Artifact,Weak,,,142,2.5,52.1,1.37,874.51,Solvent,None,,,171,1.33,0,183.04,78.88,Compound,None,,,,,,,,,,,
27,6.15,0,14.26,2.25,Compound,None,,,56,4.47,0.1,3.4,3.24,Compound,None,,,85,3.59,0,1.63,0.16,Artifact,Weak,,,114,3.1,0.1,4.11,6.07,Artifact,Weak,,,143,2.49,20.9,1.33,296.21,Solvent,None,,,172,1.3,0,2.06,0.36,Impurity,Weak,,,,,,,,,,,
28,6.11,0,0.74,0.07,Artifact,Weak,,,57,4.45,0.1,5.24,4.34,Compound,None,,,86,3.58,0.1,4.07,4.49,Artifact,Weak,,,115,3.08,0,2.18,1.32,Artifact,Weak,,,144,2.46,0,1.73,0.19,Artifact,Weak,,,173,1.28,0,1.31,0.31,Impurity,Weak,,,,,,,,,,,
29,6.01,0,2.37,0.36,Impurity,Weak,,,58,4.43,0,2.37,0.55,Compound,None,,,87,3.57,0.1,3.51,6.3,Artifact,Weak,,,116,3.08,0,1.98,0.84,Artifact,Weak,,,145,2.45,0,1.61,0.27,Artifact,Weak,,,174,1.25,0.1,24.25,41.26,Compound,None,,,,,,,,,,,
