,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.22,0,0.58,0.05,Artifact,Weak,,,37,4.32,0,1.45,0.39,Compound,None,,,63,3.16,0,1.99,0.26,Artifact,Weak,,,89,2.34,0.1,1.17,1.95,Solvent,Weak + C13_Sat,,,115,1.04,0,0.73,0.15,Impurity,None,,
12,7.1,0,0.53,0.05,Artifact,Weak,,,38,4.28,0,1.04,0.17,Compound,None,,,64,3.15,0,1.39,0.35,Impurity,None,,,90,2.33,0.4,1.37,6.47,Solvent,Weak + C13_Sat,,,116,1.03,0,9.74,1.04,Artifact,Weak,,
13,6.57,0,1.95,0.38,Impurity,None,,,39,4.26,0,3.01,0.58,Compound,None,,,65,3.14,0,2.5,0.37,Compound,None,,,91,2.33,0.5,1.21,7.63,Solvent,Weak + C13_Sat,,,117,0.99,0,4.93,1.46,Compound,None,,
14,6.56,0,1.58,0.4,Impurity,None,,,40,4.25,0,1.39,0.24,Compound,None,,,66,3.13,0,2.58,1.21,Compound,None,,,92,2.32,0.3,1.21,5.4,Solvent,Weak + C13_Sat,,,118,0.98,0,3.28,0.42,Compound,None,,
15,6.2,0,2.49,0.33,Impurity,None,,,41,4.14,0,0.89,0.12,Impurity,Weak,,,67,3.12,0,1.22,0.19,Compound,None,,,93,2.32,0.1,1.17,2,Solvent,Weak + C13_Sat,,,119,0.92,0,0.43,0.04,Artifact,Weak,,
16,6.19,0,2.04,0.35,Impurity,None,,,42,4.12,0,0.88,0.14,Impurity,Weak,,,68,3.1,0,4.08,1.39,Compound,None,,,94,2.29,0,0.62,0.16,Impurity,None,,,120,0.87,0,7.5,3.07,Compound,None,,
17,4.9,0,6.69,1.75,Compound,None,,,43,3.7,0,0.62,0.06,Artifact,Weak,,,69,3.06,0,0.85,0.11,Impurity,Weak,,,95,2.23,0,3.53,0.56,Compound,None,,,121,0.85,0.1,2.23,1.86,Compound,None,,
18,4.89,0,1.15,0.13,Compound,Weak,,,44,3.66,0,0.64,0.07,Impurity,Weak,,,70,3.04,0,1.37,0.26,Impurity,None,,,96,2.22,0,1.73,0.21,Artifact,Weak,,,122,0.84,0,5.96,3.54,Compound,None,,
19,4.88,0.1,1.97,1.84,Compound,None,,,45,3.63,0,1.61,0.32,Impurity,None,,,71,3.03,0,1.12,0.1,Artifact,Weak,,,97,2.21,0,1.57,0.24,Compound,None,,,123,0.81,0,6.39,2.2,Compound,None,,
20,4.87,0.1,1.73,1.35,Compound,None,,,46,3.58,0,1.86,0.48,Compound,None,,,72,2.89,0,11.41,1.32,Artifact,Weak,,,98,2.08,0,0.9,0.34,Impurity,None,,,124,0.5,0,0.52,0.04,Artifact,Weak,,
21,4.83,0,5.82,2.64,Compound,None,,,47,3.57,0,2.13,1.08,Compound,None,,,73,2.68,0.2,1.3,2.42,Solvent,Weak + C13_Sat,,,99,2.06,0,0.51,0.04,Artifact,Weak,,,125,0.07,0,1.75,0.37,Impurity,None,,
22,4.82,0,2.65,0.54,Compound,None,,,48,3.56,0,1.48,0.63,Compound,None,,,74,2.67,0.4,1.24,5.52,Solvent,Weak + C13_Sat,,,100,2.01,0,1.7,0.28,Impurity,None,,,126,-0.19,0,1.13,0.1,Artifact,Weak,,
23,4.76,0.1,2.88,2.2,Compound,None,,,49,3.54,0.1,6.21,4.66,Compound,None,,,75,2.67,0.5,1.24,8.23,Solvent,Weak + C13_Sat,,,101,1.83,0.1,10.12,10.69,Compound,None,,,127,-0.41,0,0.77,0.07,Artifact,Weak,,
24,4.75,0.1,6.57,4.73,Compound,None,,,50,3.53,0,1.68,0.64,Compound,None,,,76,2.66,0.4,1.31,5.89,Solvent,Weak + C13_Sat,,,102,1.77,0,2.62,0.34,Impurity,Weak,,,128,-1.81,0,0.69,0.05,Artifact,Weak,,
25,4.62,0,2.94,0.55,Compound,None,,,51,3.5,0,1.99,0.23,Compound,None,,,77,2.66,0.1,1.15,1.8,Solvent,Weak + C13_Sat,,,103,1.36,0,0.99,0.15,Impurity,Weak,,,129,-2,0,0.47,0.04,Artifact,Weak,,
26,4.61,0,1.48,0.29,Compound,None,,,52,3.48,0,2.59,0.87,Compound,None,,,78,2.53,0,2.4,1.4,Artifact,Weak,,,104,1.33,0,1.18,0.1,Artifact,Weak,,,130,-2.18,0,0.39,0.03,Artifact,Weak,,
