,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.79,0,2.34,0.41,Impurity,Weak,,,40,5.41,0.3,13.85,48.31,Compound,None,,,69,4.46,0.1,4.76,7.85,Compound,None,,,98,3.65,0.3,2.83,12.12,Compound,None,,,127,3.22,0.2,3.84,11.88,Artifact,Weak,,,156,2.67,0.4,1.44,8.36,Solvent,Weak + C13_Sat,,,185,2.08,0.1,0.93,0.77,Compound,None,,,214,1.17,0,3.06,0.51,Compound,Weak,,
12,7.77,0,1.26,0.19,Impurity,Weak,,,41,5.32,0,13.62,5.04,Compound,None,,,70,4.43,0,3.63,2.07,Compound,None,,,99,3.64,0.3,2.83,10.23,Artifact,Weak,,,128,3.22,0.2,3.44,10.81,Artifact,Weak,,,157,2.66,0.3,1.5,5.78,Solvent,Weak + C13_Sat,,,186,2.08,0.1,5.56,5.86,Compound,None,,,215,1.14,0,4.29,2.4,Compound,None,,
13,7.7,0,2.64,0.86,Impurity,None,,,42,5.25,0,2.34,0.27,Impurity,Weak,,,71,4.42,0.1,6.14,7.04,Compound,None,,,100,3.64,0.4,2.83,13.56,Compound,None,,,129,3.21,0.2,2.79,8.11,Artifact,Weak,,,158,2.66,0.1,1.22,1.75,Solvent,Weak + C13_Sat,,,187,2.06,0.1,4.28,2.96,Compound,None,,,216,1.13,0,4.75,1.09,Compound,None,,
14,7.53,0,12.27,4.36,Compound,None,,,43,5.23,0,6.12,2.08,Compound,None,,,72,4.4,0.1,6.21,10.39,Compound,None,,,101,3.63,0.4,2.79,15.7,Compound,None,,,130,3.16,0.2,4.19,11.82,Artifact,Weak,,,159,2.63,0,15.37,2.63,Compound,None,,,188,2.05,0,3.6,0.35,Impurity,Weak,,,217,1.12,0,0.99,0.21,Impurity,Weak,,
15,7.4,0,6.64,0.94,Artifact,Weak,,,44,5.2,0,5.87,0.92,Impurity,Weak,,,73,4.39,0,3.37,1.62,Compound,None,,,102,3.62,0.3,2.19,7.8,Artifact,Weak,,,131,3.15,0.2,3.89,10.03,Artifact,Weak,,,160,2.61,0,0.88,0.1,Artifact,Weak,,,189,2.01,0,1.45,0.25,Impurity,Weak,,,218,1.11,0,3.7,2.3,Compound,None,,
16,7.38,0,1.62,0.17,Artifact,Weak,,,45,5.11,0.2,13.02,29.36,Compound,None,,,74,4.37,0.1,13.35,21.73,Compound,None,,,103,3.6,0,1.88,0.5,Artifact,Weak,,,132,3.14,0.4,5.8,33.45,Compound,None,,,161,2.56,0.1,1.04,1.36,Artifact,Weak,,,190,2,0,2.13,0.38,Impurity,Weak,,,219,1.09,0,2.55,0.99,Compound,None,,
17,7.05,0,16.66,2.18,Compound,None,,,46,5.1,0,1.87,0.61,Compound,None,,,75,4.36,0.4,5.38,26.78,Compound,None,,,104,3.59,0,2.14,0.93,Artifact,Weak,,,133,3.13,0.4,4.38,24.48,Artifact,Weak,,,162,2.52,0.2,0.9,1.64,Artifact,Weak,,,191,1.99,0,1.48,0.28,Impurity,Weak,,,220,1.07,0.2,5.89,19.11,Compound,None,,
18,6.91,0,3.98,0.53,Artifact,Weak,,,47,5.01,0,5.49,1.45,Impurity,None,,,76,4.34,0.8,6.13,70.25,Compound,None,,,105,3.58,0.3,4.75,19.25,Artifact,Weak,,,134,3.11,0.1,3.18,6.06,Artifact,Weak,,,163,2.51,23.2,1.29,348.4,Solvent,None,,,192,1.98,0,1.5,0.37,Compound,Weak,,,221,1.06,0.2,3.55,7.34,Compound,None,,
19,6.9,0,2.87,0.3,Artifact,Weak,,,48,5,0,1.33,0.18,Artifact,Weak,,,77,4.33,0.3,5.46,25.26,Compound,None,,,106,3.57,0.4,5.19,29.22,Compound,None,,,135,3.11,0.2,3.55,10.88,Artifact,Weak,,,164,2.5,60,1.47,1148.37,Solvent,None,,,193,1.97,0,6.47,3.53,Compound,None,,,222,1.05,0,1.68,0.85,Compound,None,,
20,6.84,0,1.99,0.28,Artifact,Weak,,,49,4.97,0,2.08,0.33,Impurity,Weak,,,78,4.31,0,5.17,1.95,Compound,None,,,107,3.55,0.5,4.22,27,Compound,None,,,136,3.1,0.4,3.6,17.85,Artifact,Weak,,,165,2.5,82.5,1.41,1475.56,Solvent,None,,,194,1.95,0,4.3,1.46,Compound,None,,,223,1.01,0,1.35,0.2,Impurity,Weak,,
21,6.67,0,9.86,1.97,Compound,None,,,50,4.96,0,7.85,2.8,Compound,None,,,79,4.28,0.1,2.63,2.81,Compound,None,,,108,3.55,0.9,5.57,68.98,Compound,None,,,137,3.08,0.1,4.23,6.74,Artifact,Weak,,,166,2.5,56.9,1.54,1114.61,Solvent,None,,,195,1.94,0,2.02,0.49,Impurity,Weak,,,224,1,0,1.02,0.21,Impurity,Weak,,
22,6.57,0.1,4.32,7.83,Compound,None,,,51,4.94,0,1.47,0.21,Impurity,Weak,,,80,4.26,0.1,3.64,5.19,Compound,None,,,109,3.54,0.2,3.27,9.85,Artifact,Weak,,,138,3.08,0.1,2.45,2.62,Artifact,Weak,,,167,2.49,21.2,1.24,293.18,Solvent,None,,,196,1.9,0,1.46,0.26,Impurity,Weak,,,225,0.98,0,0.9,0.25,Impurity,Weak,,
23,6.56,0.2,4.47,8.63,Compound,None,,,52,4.91,0.2,4.14,11.24,Compound,None,,,81,4.26,0.1,3.52,4.7,Compound,None,,,110,3.53,0.7,4.19,35.71,Compound,None,,,139,3.06,0.1,2.27,4,Artifact,Weak,,,168,2.34,0.1,1.22,1.82,Solvent,Weak + C13_Sat,,,197,1.86,0.6,7.96,65.83,Compound,None,,,226,0.97,0,2.27,0.64,Impurity,Weak,,
24,6.34,0,3.03,0.36,Artifact,Weak,,,53,4.9,0.3,3.68,14.09,Compound,None,,,82,4.25,0.1,3.16,4.85,Compound,None,,,111,3.52,0.5,4.14,28.48,Compound,None,,,140,3.05,0.1,1.97,2.78,Artifact,Weak,,,169,2.33,0.3,1.53,6.04,Solvent,Weak + C13_Sat,,,198,1.84,0,4.75,2.15,Compound,None,,,227,0.85,0.2,23.92,67.62,Compound,None,,
25,6.33,0,2.53,0.29,Artifact,Weak,,,54,4.89,0.2,2.52,4.62,Compound,None,,,83,4.15,0.1,5.92,9.88,Compound,None,,,112,3.51,0,1.29,0.49,Artifact,Weak,,,141,3.04,0.1,2.16,2.24,Artifact,Weak,,,170,2.33,0.5,1.66,10.57,Solvent,Weak + C13_Sat,,,199,1.82,0.1,2.08,2.01,Compound,None,,,228,0.83,0,2.51,0.31,Impurity,Weak,,
26,6.2,0.2,3.41,8.34,Compound,None,,,55,4.88,1.6,2.05,38.37,Compound,None,,,84,4.14,0.1,6.54,9.75,Compound,None,,,113,3.5,0.3,3.45,11.32,Artifact,Weak,,,142,3.04,0.2,3.96,11.39,Artifact,Weak,,,171,2.32,0.3,1.44,5.59,Solvent,Weak + C13_Sat,,,200,1.81,0,1.6,0.73,Compound,None,,,229,0.07,0,1.66,0.56,Impurity,Weak,,
27,6.19,0.2,3.22,7.5,Compound,None,,,56,4.87,1.7,2.2,47.99,Compound,None,,,85,4.07,0,7.79,1.74,Impurity,None,,,114,3.48,0.5,4.01,24.55,Artifact,Weak,,,143,3.03,0.1,3.72,5.57,Artifact,Weak,,,172,2.32,0.2,1.29,3.12,Solvent,Weak + C13_Sat,,,201,1.8,0,1.6,0.39,Compound,Weak,,,,,,,,,,,
28,6.16,0,3.3,0.67,Impurity,Weak,,,57,4.86,0.1,7.32,6.3,Compound,None,,,86,3.85,0,5.54,1.3,Impurity,None,,,115,3.47,0.5,3.26,18.86,Artifact,Weak,,,144,3.01,0.1,3.48,2.47,Artifact,Weak,,,173,2.3,0,2.68,0.5,Impurity,Weak,,,202,1.78,0,10.5,4.12,Compound,None,,,,,,,,,,,
29,6.14,0,3.01,0.48,Impurity,Weak,,,58,4.83,0.4,7.8,36.71,Compound,None,,,87,3.83,0,1.47,0.22,Impurity,Weak,,,116,3.45,0.4,3.79,16.56,Artifact,Weak,,,145,3.01,0.1,3.37,2.13,Artifact,Weak,,,174,2.27,0,3.71,1.15,Impurity,None,,,203,1.77,0.1,1.55,1.56,Compound,None,,,,,,,,,,,
