Sample	coreID	depth	Site	length	location	drying	rep	saturation	k__Archaea.p__Crenarchaeota	k__Bacteria.__	k__Bacteria.p__Acidobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Chlamydiae	k__Bacteria.p__Chloroflexi	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Firmicutes	k__Bacteria.p__Gemmatimonadetes	k__Bacteria.p__Nitrospirae	k__Bacteria.p__OD1	k__Bacteria.p__Planctomycetes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobia	k__Bacteria.p__WS3	Other				
DOC_114	S61	5cm-end	SR	150d	up	CW	r1	saturated	9.53E-05	0.001353541	0.023944333	0.094252216	0.043751787	0.000133448	0.008197503	0.000438471	0.13659327	0.004251263	0.00110571	0	0.033380993	0.622285769	0.029091602	0	0.001124774				
DOC_115	S63	5cm-end	SR	150d	up	CW	r2	saturated	0	0.001512243	0.018088757	0.160152388	0.021578549	5.82E-05	0.008753562	0.000581632	0.06566626	0.005118362	0.003344384	0	0.041295876	0.654132496	0.016896411	0.00017449	2.65E-03				
DOC_116	S80	5cm-end	SR	150d	up	FAD	r2	saturated	0	0.001785303	0.016873992	0.141154112	0.049182216	0.000230362	0.002649159	0.000345543	0.14915918	0.009099286	0	0	0.035014974	0.580453812	0.012093988	0	0.001958074				
DOC_117	S86	5cm-end	SR	150d	up	FAD	r1	saturated	0.000325349	0.001504738	0.03668307	0.110577901	0.054943267	8.13E-05	0.007889707	0.000122006	0.174874944	0.0063443	0.003212819	0	0.015169385	0.569522957	0.016836797	0	1.91E-03				
DOC_118	S3	5cm-end	SR	30d	low	CW	r4	saturated	0.004266007	0.000797385	0.02302448	0.096662946	0.038254525	0	0.011422534	0.000797385	0.229367674	0.002950323	0.001734311	0.000617973	0.028406826	0.541324456	0.015867953	0.000299019	0.004206204				
DOC_119	S9	5cm-end	SR	30d	low	CW	r2	saturated	0	0	0	0.237742754	0.006113029	0	0	0	0.005988273	0	0	0	0	0.745955836	0	0	0.004200108				
DOC_120	S20	5cm-end	SR	30d	low	CW	r3	saturated	0.0024366	0.000320605	0.024654548	0.065403482	0.056971562	0.000897695	0.010483793	0.000352666	0.179506909	0.002212177	0.002115995	6.41E-05	0.015805841	0.618992658	0.017088263	0	0.002693085				
DOC_121	S27	5cm-end	SR	30d	low	FAD	r3	saturated	0.002833422	0.000272206	0.023483995	0.125153116	0.138540726	0.000197968	0.011952339	0.000383564	0.092723426	0.009428243	0.002771557	0.000581532	0.034545477	0.519976244	0.034273271	0.000197968	0.002684946				
DOC_122	S16	5cm-end	SR	30d	low	FAD	r2	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0				
DOC_123	S39	5cm-end	SR	30d	low	FAD	r4	saturated	0.001301489	0.000693001	0.014282575	0.053597688	0.16531447	0.000101415	0.00488481	0.00158038	0.192882376	0.00468198	0.00302554	0.000667647	0.011071109	0.529537042	0.014003685	3.38E-05	0.00234099				
DOC_124	S83	5cm-end	SR	30d	up	CW	r1	saturated	0.000394888	0.00064618	0.049540494	0.096424469	0.065443711	0.000287191	0.011703044	0	0.11347645	0.007036186	0.000861574	0	0.040637565	0.576823665	0.034068064	0.000682079	0.00197444				
DOC_125	S54	5cm-end	SR	30d	up	CW	r4	saturated	0.000461757	0.000428774	0.06626208	0.11943006	0.051452884	0.000610178	0.015782183	0.000511231	0.139368053	0.007190211	0.001731587	0	0.044279165	0.512500412	0.036396319	0.000461757	0.003133349				
DOC_126	S66	5cm-end	SR	30d	up	CW	r3	saturated	0.00030983	0.000398353	0.068317621	0.145111318	0.021643872	0.000376223	0.014340725	0.000840968	0.20785199	0.009958837	0.004315496	0	0.080865755	0.407316425	0.035630505	8.85E-05	0.002633559				
DOC_127	S57	5cm-end	SR	30d	up	FAD	r4	saturated	0.000326827	0.000601362	0.042788229	0.10114651	0.037232165	0.000326827	0.014458839	0.000326827	0.072529513	0.012393291	0.002444668	0	0.052410024	0.62565202	0.032761168	0.000470631	0.004131097				
DOC_128	S76	5cm-end	SR	30d	up	FAD	r2	saturated	0.000260917	0.00083019	0.037406011	0.088284826	0.092246021	9.49E-05	0.009321853	0.001375744	0.145639128	0.0034868	0.003059845	0.000284637	0.015844778	0.572594227	0.027135368	9.49E-05	2.04E-03				
DOC_129	S15	5cm-end	SR	90d	low	CW	r2	saturated	0.001650895	0.001474013	0.014032605	0.094779045	0.113675894	0.000235842	0.005129566	0.002623743	0.18495917	0.001061289	0.001415053	8.84E-05	0.009875888	0.559329029	0.008018632	0	0.001650895				
DOC_130	S11	5cm-end	SR	90d	low	CW	r1	saturated	0.006346604	0.000819672	0.01941452	0.122388759	0.156135831	0.00030445	0.010210773	0.00030445	0.171615925	0.002974239	0.001779859	0	0.018805621	0.472622951	0.01470726	0.000140515	0.001428571				
DOC_131	S25	5cm-end	SR	90d	low	CW	r4	saturated	0	0	0	0	0	0	0	0	0	0.272727273	0	0	0.272727273	0.454545455	0	0	0				
DOC_132	S1	5cm-end	SR	90d	low	FAD	r1	saturated	0.004140453	0.000591493	0.124858848	0.094477604	0.030327472	0.000215088	0.022530516	0.001236759	0.074259289	0.013496801	0.02952089	0.001666936	0.026670968	0.499596709	0.052642899	0.003602732	0.020164543				
DOC_133	S18	5cm-end	SR	90d	low	FAD	r3	saturated	0.002018775	0.00026917	0.012516403	0.103159382	0.140574005	0.00026917	0.006594664	0.000639279	0.114329935	0.002523468	0.000437401	0	0.011136907	0.583291276	0.020490562	0	0.001749605				
DOC_134	S37	5cm-end	SR	90d	low	FAD	r4	saturated	0.002240701	0.00014938	0.012946273	0.06911318	0.154707962	0	0.003684708	0.001493801	0.148185032	0.000647314	0.001394214	0	0.013842553	0.581437036	0.009112184	0	0.001045661				
DOC_135	S53	5cm-end	SR	90d	up	CW	r4	saturated	0.000354877	0.001108992	0.044670186	0.105442931	0.121767289	0.000665395	0.011932751	0.000266158	0.099986692	0.00669831	0	0	0.017655148	0.556758195	0.029809697	0.000399237	0.002484141				
DOC_136	S87	5cm-end	SR	90d	up	CW	r1	saturated	0.000247724	0.000247724	0.049792531	0.130550567	0.160927727	0.000216759	0.013748684	0.000123862	0.111351954	0.008453583	0.001486344	0	0.065925559	0.421254722	0.034929089	0	0.000743172				
DOC_137	S65	5cm-end	SR	90d	up	CW	r3	saturated	0.001878558	0.000722522	0.090055201	0.176613393	0.066963383	0	0.028207277	0.000144504	0.033698448	0.013785729	0.003265802	0	0.03953643	0.523568683	0.019074593	0.001184937	0.00130054				
DOC_138	S52	5cm-end	SR	90d	up	FAD	r3	saturated	0.000382966	0.000727635	0.0245481	0.059666054	0.063151042	0	0.004787071	0.000344669	0.119178922	0.002259498	0.001072304	0	0.045151654	0.660577512	0.017156863	0	0.000995711				
DOC_139	S72	5cm-end	SR	90d	up	FAD	r4	saturated	0.000330699	0.000363769	0.011376038	0.107907008	0.076226066	0	0.001719634	0	0.100499355	0.004398294	0.001025166	0	0.041932604	0.638480108	0.014550746	0	0.001190516				
DOC_140	S78	5cm-end	SR	90d	up	FAD	r1	saturated	0	0.000983187	0.031363681	0.19732573	0.030134697	0	0.010470947	9.83E-05	0.033379215	0.003293678	0.001868056	0	0.0424737	0.632779471	0.015386884	0	0.000442434				
DOC_141	C78	0-5cm	CPCRW	90d		CW	r1	instant chemistry	0	0.001455604	0.350384695	0.054897068	0.008733624	0	0.055105011	0	0	0.01933874	0.037013932	0.00062383	0.019546683	0.202121023	0.234144313	0.002287378	0.014348097				
DOC_142	C76	0-5cm	CPCRW	90d		CW	r2	instant chemistry	0.001556463	0.001167348	0.336974346	0.079824342	0.029433836	5.56E-05	0.064926763	0.00069485	0.005308652	0.030684566	0.019233442	0.001306318	0.02381945	0.193585147	0.200839379	0.00083382	9.76E-03				
DOC_143	C84	0-5cm	CPCRW	90d		CW	r3	instant chemistry	0.000124425	0	0	0.304902327	0	0	0	0	0.003857161	0	0	0	0	0.69061839	0	0	0.000497698				
DOC_144	C70	0-5cm	CPCRW	90d		FAD	r1	instant chemistry	0.001383049	0.000497898	0.300121708	0.077229476	0.017868998	0.00027661	0.035516707	0.00082983	0.000608542	0.004923656	0.030924983	0.001659659	0.023954415	0.2920447	0.203640186	0.001438371	0.007081213				
DOC_145	C80	0-5cm	CPCRW	90d		FAD	r2	instant chemistry	0.000295926	0.00049321	0.292769539	0.043238089	0.012001447	0.000558971	0.032255943	0.000394568	0.000164403	0.010291652	0.01897215	0.001183704	0.019366718	0.177555651	0.382698188	0.001413869	0.00634597				
DOC_146	C83	0-5cm	CPCRW	90d		FAD	r3	instant chemistry	0	0	0	0	0	0.181818182	0.181818182	0	0.181818182	0	0	0	0	0.454545455	0	0	0				
DOC_147	C78	5cm-end	CPCRW	90d		CW	r1	instant chemistry	0	0	0	0.416666667	0	0	0	0	0	0	0	0.166666667	0.166666667	0.25	0	0	0				
DOC_148	C76	5cm-end	CPCRW	90d		CW	r2	instant chemistry	0.000421793	0.000386643	0.299578207	0.216766257	0.008154657	7.03E-05	0.126643234	0.000105448	0.009666081	0.068717047	0.008154657	0.000351494	0.01943761	0.158629174	0.061370826	0.000210896	2.13E-02				
DOC_149	C84	5cm-end	CPCRW	90d		CW	r3	instant chemistry	0.277777778	0	0.388888889	0.166666667	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0				
DOC_150	C70	5cm-end	CPCRW	90d		FAD	r1	instant chemistry	0	0	0	0.2	0	0	0	0	0.5	0	0	0	0	0.3	0	0	0				
DOC_152	C83	5cm-end	CPCRW	90d		FAD	r3	instant chemistry	0.003502565	0.000593655	0.224650931	0.174878894	0.008750475	0.000605528	0.152426862	0.000308701	0.008406155	0.042220745	0.024672302	0.001650361	0.018973214	0.221670783	0.098617971	0.002315255	0.015755604				
DOC_153	S91	0-5cm	SR	30d		CW	r1	instant chemistry	0.000856751	0.000685401	0.363862234	0.068197395	0.011908842	0.000299863	0.099683002	0	0.000813914	0.019019877	0.049434544	0	0.075436943	0.203564085	0.0891878	0.01280843	0.004240918				
DOC_154	S24	0-5cm	SR	30d		CW	r2	instant chemistry	0.004112918	0.000654328	0.292578052	0.128902599	0.013086558	0.000186951	0.087586465	0.000560852	0.001682557	0.015516919	0.020377641	0.000186951	0.040287904	0.303140774	0.072443447	0.006169377	0.012525706				
DOC_155	S81	0-5cm	SR	30d		CW	r3	instant chemistry	0	0.001300484	0.285311755	0.095007586	0.027165667	0.000144498	0.115020591	0	0.002889965	0.007947403	0.022686222	0.000288996	0.072754859	0.260819305	0.098981287	0.004262698	0.005418684				
DOC_156	S45	0-5cm	SR	30d		FAD	r1	instant chemistry	0.002439792	0.002833307	0.216275775	0.151896742	0.018337793	0.000550921	0.073902093	0.000472218	0.00582402	0.009286951	0.020069259	0.001023139	0.048559736	0.365260507	0.059735558	0.006847159	0.016685031				
DOC_157	S43	0-5cm	SR	30d		FAD	r2	instant chemistry	0.003369597	0.001059016	0.32521421	0.133050929	0.006161548	0.000673919	0.097044382	0.000240685	0.001203427	0.010878983	0.041446038	0.000240685	0.058053336	0.229758352	0.071820545	0.007798209	0.011986137				
DOC_158	S79	0-5cm	SR	30d		FAD	r3	instant chemistry	0	0.00160474	0.324527836	0.089001358	0.017775583	0	0.06690532	0	0.000493766	0.010245649	0.010615973	0	0.076163437	0.2388594	0.146895445	0.012097272	0.00481422				
DOC_159	S95	0-5cm	SR	90d		CW	r1	instant chemistry	0.001226116	0.001736998	0.4049249	0.097987126	0.016246041	0.000204353	0.082047614	0.000306529	0.002350056	0.007765403	0.031776847	0	0.064575457	0.201083069	0.072647389	0.011035046	0.004087054				
DOC_160	S84	0-5cm	SR	90d		CW	r2	instant chemistry	0	0.001358788	0.297846321	0.125008492	0.012297031	0.000407636	0.103947279	0	0.000815273	0.012025273	0.014131395	0	0.077586793	0.227596983	0.114817583	0.006726	0.005435152				
DOC_161	S32	0-5cm	SR	90d		CW	r3	instant chemistry	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0				
DOC_162	S21	0-5cm	SR	90d		FAD	r1	instant chemistry	0	0	0.555555556	0	0	0	0.222222222	0.222222222	0	0	0	0	0	0	0	0	0				
DOC_163	S47	0-5cm	SR	90d		FAD	r2	instant chemistry	0.003125	0.001875	0.32475	0.12	0.012875	0	0.083875	0	0.0065	0.011125	0.027125	0	0.060125	0.26725	0.074	0.0035	0.003875				
DOC_164	S89	0-5cm	SR	90d		FAD	r3	instant chemistry	0.001365136	0.001327216	0.373478442	0.094042698	0.020021994	0.000341284	0.088354632	0	0.000910091	0.014751052	0.01971863	0	0.081794395	0.212430321	0.075385841	0.008759622	0.007318645				
DOC_165	S91	5cm-end	SR	30d		CW	r1	instant chemistry	0	0.001281113	0.352946559	0.077141288	0.010614934	0	0.068356515	0	0.000640556	0.019582723	0.055087848	0	0.072291362	0.207997804	0.124816984	0.004392387	0.004849927				
DOC_166	S24	5cm-end	SR	30d		CW	r2	instant chemistry	0.003276003	0.0004095	0.247338247	0.090909091	0.006756757	0	0.101760852	0	0.004709255	0.013923014	0.041359541	0	0.025184275	0.350941851	0.074119574	0.008599509	0.030712531				
DOC_167	S81	5cm-end	SR	30d		CW	r3	instant chemistry	0.000627845	0.000627845	0.352534924	0.078951499	0.015539162	0	0.063569298	0	0.001726574	0.012242976	0.043635222	0	0.065923717	0.230576048	0.125412023	0.00376707	0.004865798				
DOC_168	S45	5cm-end	SR	30d		FAD	r1	instant chemistry	0.011777496	0	0.012321073	0.268345715	0	0	0	0.014132995	0.013770611	0	0	0	0	0.676753035	0.000362384	0	0.002536691				
DOC_169	S43	5cm-end	SR	30d		FAD	r2	instant chemistry	0.006532085	0.00092631	0.279554093	0.129779283	0.008129172	3.19E-05	0.080876481	0.000127767	0.004152426	0.014118248	0.041300668	3.19E-05	0.070495416	0.258488517	0.088270994	0.007745872	9.44E-03				
DOC_170	S79	5cm-end	SR	30d		FAD	r3	instant chemistry	0.000108268	0.002851059	0.269154426	0.097296907	0.019704789	0.000252626	0.058212133	0.000108268	0.001407485	0.014832726	0.016889819	0	0.081453679	0.269623588	0.157674402	0.006315638	0.004114187				
DOC_171	S95	5cm-end	SR	90d		CW	r1	instant chemistry	0	0	0	0.313829787	0	0	0.154255319	0	0	0	0	0	0	0.468085106	0	0.04787234	0.015957447				
DOC_172	S84	5cm-end	SR	90d		CW	r2	instant chemistry	0.000507917	0.0006625	0.239803017	0.053662522	0.005454586	0.000220833	0.125786719	0	0.002340834	0.019808758	0.021906676	0	0.121237551	0.264249277	0.129717554	0.005388336	0.009252921				
DOC_173	S32	5cm-end	SR	90d		CW	r3	instant chemistry	0.006101	0.00069213	0.254832094	0.118379903	0.006818764	0.000179441	0.089182261	0.000153807	0.005152525	0.010407588	0.039912843	5.13E-05	0.043988721	0.332709562	0.069392463	0.007562164	0.014483466				
DOC_174	S21	5cm-end	SR	90d		FAD	r1	instant chemistry	0	0	0	0.291970803	0	0	0.160583942	0	0	0	0	0	0	0.204379562	0	0.284671533	0.058394161				
DOC_175	S47	5cm-end	SR	90d		FAD	r2	instant chemistry	0	0.001633186	0.306549077	0.147640046	0.011105667	0.000489956	0.097174588	0	0.003103054	0.012248898	0.028417442	0.000816593	0.057814797	0.256083619	0.060917851	0.006532745	0.009472481				
DOC_176	S89	5cm-end	SR	90d		FAD	r3	instant chemistry	0.001456034	0.001200244	0.293194026	0.114397025	0.020069654	0	0.104499931	0.000118057	0.000629636	0.014894831	0.022903016	9.84E-05	0.097554257	0.226787085	0.083466147	0.009857742	0.008873935				
DOC_178	C73	0-5cm	CPCRW	timezero				timezero	0	0	0	0.636363636	0	0	0.064935065	0	0.103896104	0	0	0	0	0.194805195	0	0	0				
DOC_179	C81	0-5cm	CPCRW	timezero				timezero	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				
DOC_180	C29	0-5cm	CPCRW	timezero				timezero	0.002708309	0.00063386	0.2731935	0.098334678	0.015587185	0.000518612	0.054194998	0.001988014	0.004667512	0.012561945	0.025556068	0.000115247	0.052725596	0.330500173	0.107669702	0.005819984	0.013224617				
DOC_181	C67	5cm-end	CPCRW	timezero				timezero	0.003317073	0.000487805	0.170731707	0.098439024	0.021463415	0	0.043512195	0.001463415	0.006926829	0.027804878	0.017073171	0.001658537	0.023902439	0.493463415	0.07795122	0.003219512	0.008585366				
DOC_182	C73	5cm-end	CPCRW	timezero				timezero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
DOC_183	C81	5cm-end	CPCRW	timezero				timezero	0.00227601	0.000962927	0.175602924	0.05987657	0.039873944	0.000569002	0.040005252	0.000612772	0.007397032	0.065041362	0.037773012	0.002713704	0.005952641	0.415196744	0.126975095	0.001707007	0.017464				
DOC_184	C29	5cm-end	CPCRW	timezero				timezero	0	0.002021071	0.146807138	0.046484627	0.057579015	0.001118039	0.004257149	0.001247044	0.014921522	0.020769727	0.000129005	0.000602021	0.056546979	0.466136315	0.164824769	0	0.016555579				
DOC_185	S58	0-5cm	SR	timezero				timezero	0.000322269	0.000368307	0.337645596	0.032687261	0.066387367	0.000552461	0.018783666	0	0.001381152	0.013028866	0.02440035	0	0.045439897	0.332213066	0.094010405	0.02067124	0.012108098				
DOC_186	S25	0-5cm	SR	timezero				timezero	0.001188859	0.000424592	0.042586617	0.226732337	0.038128397	0	0.025730299	0.000424592	0.121815557	0.011336617	0.002887228	0	0.040081522	0.463824728	0.020465353	0.000212296	0.004161005				
DOC_187	S92	0-5cm	SR	timezero				timezero	0.000774317	0.001191256	0.383703615	0.020608732	0.058669367	0.000536065	0.020668295	0.000297814	0	0.023467747	0.041634403	0.000357377	0.042527846	0.33206266	0.050449699	0.014473763	0.008577044				
DOC_188	S58	5cm-end	SR	timezero				timezero	0.001763988	0.001085531	0.274051291	0.049052422	0.061739563	0.000791533	0.035166674	0.00047492	0.000271383	0.022977068	0.048600118	0.000271383	0.069677507	0.31772129	0.08306572	0.020466778	0.012822832				
DOC_189	S25	5cm-end	SR	timezero				timezero	0.006807174	0.000218179	0.044595715	0.14967055	0.190513593	0.000109089	0.023541476	0.000981804	0.106994807	0.003752673	0.002639962	0	0.032377711	0.405506829	0.029126849	0.000218179	0.002945412				
DOC_190	S92	5cm-end	SR	timezero				timezero	0.003687426	0.001303635	0.385727056	0.015606377	0.049798868	0.004283373	0.026370679	0	0.000744934	0.024210369	0.069725864	0.000260727	0.037917163	0.307099225	0.049389154	0.015308403	0.008566746				
									0.777777778	0.153846154	1	1	0.356454721	0.181818182	0.444444444	0.222222222	0.844255747	0.272727273	0.333333333	0.166666667	0.272727273	1	0.382698188	0.284671533					
