Sample	coreID	depth	Site	length	location	drying	rep	saturation	k__Archaea.p__Crenarchaeota	k__Bacteria.__	k__Bacteria.p__Acidobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Chlamydiae	k__Bacteria.p__Chloroflexi	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Firmicutes	k__Bacteria.p__Gemmatimonadetes	k__Bacteria.p__Nitrospirae	k__Bacteria.p__OD1	k__Bacteria.p__Planctomycetes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobia	k__Bacteria.p__WS3	Other				
DOC_023	C39	0-5cm	CPCRW	30d	up	FAD	r4	saturated	0	0	0.000217061	0.356305622	0	0	0.00010853	0	0.009279357	0	0	0	0	0.625732581	0	0	0.008356848				
DOC_024	C27	0-5cm	CPCRW	30d	up	FAD	r3	saturated	0	0	0	0.566867095	0	0	0	0	0.014099108	0	0	0	0	0.419033796	0	0	0				
DOC_025	C61	0-5cm	CPCRW	90d	low	CW	r2	saturated	0.00210482	0	0	0.045464113	0.003087069	0	0	0	0	0	0.000280643	0	0.000140321	0.948923034	0	0	0				
DOC_026	C86	0-5cm	CPCRW	90d	low	CW	r1	saturated	0.000592457	0.001553802	0.107558854	0.118144828	0.080585303	0.001218449	0.020713631	0.000637171	0.042824566	0.016063404	0.00249279	0.000346531	0.023586488	0.388048023	0.175579602	0.001419661	0.018634443				
DOC_027	C53	0-5cm	CPCRW	90d	low	CW	r4	saturated	0.003818876	0.000272777	0.236333879	0.100763775	0.036661211	0.000272777	0.025531915	0.000927441	0.065466448	0.025859247	0.002782324	0.000545554	0.021549373	0.406546645	0.067539553	0.002291326	0.002836879				
DOC_028	C71	0-5cm	CPCRW	90d	low	FAD	r4	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0				
DOC_029	C77	0-5cm	CPCRW	90d	low	FAD	r1	saturated	0.001551773	0.001034515	0.073074391	0.18931628	0.051819806	0.000423211	0.026709301	0	0.102934261	0.022806358	0.00164582	0.000188094	0.015940939	0.465719929	0.040534186	0.001739866	0.004561272				
DOC_031	C34	0-5cm	CPCRW	90d	up	CW	r3	saturated	0	0.002366225	0.075656939	0.147328656	0.083087716	0.000643447	0.011021628	0.002428494	0.089646727	0.005396654	0.000352858	0.000269833	0.024430238	0.396384242	0.132633152	6.23E-05	0.028290921				
DOC_032	C15	0-5cm	CPCRW	90d	up	CW	r2	saturated	0	0.015582603	0.082781611	0.151019459	0.067105977	0.005147686	0.011706334	0.002837429	0.063570819	0.01392356	0	0.000124041	0.012621133	0.484766261	0.071773006	0	0.017040081				
DOC_033	C11	0-5cm	CPCRW	90d	up	CW	r1	saturated	0	0.009318608	0.048417316	0.200152845	0.061926832	0.004881175	0.00739572	0.000468396	0.035943201	0.00071492	0.000147914	0	0.003549946	0.580095651	0.0343901	0	0.012597377				
