"formula","depth","Site","length","drying","saturation"
"C10H6O5","0-5cm","SR","30d","CW","saturated"
"C10H6O5","0-5cm","SR","30d","FAD","saturated"
"C10H6O5","0-5cm","SR","90d","CW","saturated"
"C10H6O5","0-5cm","SR","90d","FAD","saturated"
"C10H6O5","5cm-end","SR","150d","CW","saturated"
"C10H6O5","5cm-end","SR","150d","FAD","saturated"
"C10H6O5","5cm-end","SR","30d","CW","saturated"
"C10H6O5","5cm-end","SR","30d","FAD","saturated"
"C10H6O5","5cm-end","SR","90d","CW","saturated"
"C10H6O5","5cm-end","SR","90d","FAD","saturated"
"C10H6O5","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H6O5","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C10H6O5","5cm-end","CPCRW","90d","CW","instant chemistry"
"C10H6O5","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H6O5","0-5cm","SR","30d","CW","instant chemistry"
"C10H6O5","0-5cm","SR","30d","FAD","instant chemistry"
"C10H6O5","0-5cm","SR","90d","CW","instant chemistry"
"C10H6O5","0-5cm","SR","90d","FAD","instant chemistry"
"C10H6O5","5cm-end","SR","30d","CW","instant chemistry"
"C10H6O5","5cm-end","SR","30d","FAD","instant chemistry"
"C10H6O5","5cm-end","SR","90d","CW","instant chemistry"
"C10H6O5","5cm-end","SR","90d","FAD","instant chemistry"
"C11H10O4","0-5cm","CPCRW","150d","FAD","saturated"
"C11H10O4","0-5cm","CPCRW","150d","CW","saturated"
"C11H10O4","0-5cm","CPCRW","30d","CW","saturated"
"C11H10O4","0-5cm","CPCRW","30d","FAD","saturated"
"C11H10O4","0-5cm","CPCRW","90d","CW","saturated"
"C11H10O4","0-5cm","CPCRW","90d","FAD","saturated"
"C11H10O4","5cm-end","CPCRW","150d","CW","saturated"
"C11H10O4","5cm-end","CPCRW","150d","FAD","saturated"
"C11H10O4","5cm-end","CPCRW","30d","CW","saturated"
"C11H10O4","5cm-end","CPCRW","30d","FAD","saturated"
"C11H10O4","5cm-end","CPCRW","90d","CW","saturated"
"C11H10O4","5cm-end","CPCRW","90d","FAD","saturated"
"C11H10O4","0-5cm","SR","150d","CW","saturated"
"C11H10O4","0-5cm","SR","150d","FAD","saturated"
"C11H10O4","0-5cm","SR","30d","CW","saturated"
"C11H10O4","0-5cm","SR","30d","FAD","saturated"
"C11H10O4","0-5cm","SR","90d","CW","saturated"
"C11H10O4","0-5cm","SR","90d","FAD","saturated"
"C11H10O4","5cm-end","SR","150d","FAD","saturated"
"C11H10O4","5cm-end","SR","30d","CW","saturated"
"C11H10O4","5cm-end","SR","90d","CW","saturated"
"C11H10O4","5cm-end","SR","90d","FAD","saturated"
"C11H10O4","0-5cm","CPCRW","90d","CW","instant chemistry"
"C11H10O4","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C11H10O4","5cm-end","CPCRW","90d","CW","instant chemistry"
"C11H10O4","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C11H10O4","0-5cm","SR","30d","CW","instant chemistry"
"C11H10O4","0-5cm","SR","30d","FAD","instant chemistry"
"C11H10O4","0-5cm","SR","90d","CW","instant chemistry"
"C11H10O4","0-5cm","SR","90d","FAD","instant chemistry"
"C11H10O4","5cm-end","SR","30d","CW","instant chemistry"
"C11H10O4","5cm-end","SR","30d","FAD","instant chemistry"
"C11H10O4","5cm-end","SR","90d","CW","instant chemistry"
"C11H10O4","5cm-end","SR","90d","FAD","instant chemistry"
"C8H14O6","0-5cm","CPCRW","150d","FAD","saturated"
"C8H14O6","0-5cm","CPCRW","150d","CW","saturated"
"C8H14O6","0-5cm","CPCRW","30d","CW","saturated"
"C8H14O6","0-5cm","CPCRW","30d","FAD","saturated"
"C8H14O6","0-5cm","CPCRW","90d","CW","saturated"
"C8H14O6","0-5cm","CPCRW","90d","FAD","saturated"
"C8H14O6","5cm-end","CPCRW","150d","CW","saturated"
"C8H14O6","5cm-end","CPCRW","150d","FAD","saturated"
"C8H14O6","5cm-end","CPCRW","30d","CW","saturated"
"C8H14O6","5cm-end","CPCRW","30d","FAD","saturated"
"C8H14O6","5cm-end","CPCRW","90d","CW","saturated"
"C8H14O6","5cm-end","CPCRW","90d","FAD","saturated"
"C8H14O6","0-5cm","SR","150d","CW","saturated"
"C8H14O6","0-5cm","SR","150d","FAD","saturated"
"C8H14O6","0-5cm","SR","30d","CW","saturated"
"C8H14O6","0-5cm","SR","30d","FAD","saturated"
"C8H14O6","0-5cm","SR","90d","CW","saturated"
"C8H14O6","0-5cm","SR","90d","FAD","saturated"
"C8H14O6","5cm-end","SR","150d","CW","saturated"
"C8H14O6","5cm-end","SR","30d","CW","saturated"
"C8H14O6","5cm-end","SR","90d","CW","saturated"
"C8H14O6","5cm-end","SR","90d","FAD","saturated"
"C8H14O6","0-5cm","CPCRW","90d","CW","instant chemistry"
