"date","Site","Core","PPM_CO2","Mass_g","dry_soil_g","CO2_ppm_g"
2020-03-06,"SR","14",571,168.87,75.2,7.59
2020-03-06,"SR","26",526,196.75,109.02,4.82
2020-03-06,"SR","49",616,180.91,86.72,7.1
2020-03-06,"SR","28",643,175.96,101.92,6.31
2020-03-06,"SR","86",719,249.93,152.67,4.71
2020-03-06,"","amb",488,NA,NA,NA
2020-03-06,"SR","33",553,166.87,84.75,6.53
2020-03-06,"SR","4",602,203.56,102.47,5.87
2020-03-06,"SR","46",851,176.62,97.39,8.74
2020-03-06,"SR","63",572,237.11,151.89,3.77
2020-03-06,"SR","8",577,181.83,85.36,6.76
2020-03-06,"SR","13",549,190.32,90.63,6.06
2020-03-06,"","amb",493,NA,NA,NA
2020-03-09,"SR","56",533,264.81,152.43,3.5
2020-03-09,"SR","61",605,282.02,160.64,3.77
2020-03-09,"SR","80",525,291.34,166.88,3.15
2020-03-09,"SR","73",548,307.02,177.59,3.09
2020-03-09,"SR","35",542,189.17,101.25,5.35
2020-03-09,"SR","14",552,169.36,75.2,7.34
2020-03-09,"SR","26",568,197.3,109.02,5.21
2020-03-09,"SR","49",561,181.45,86.72,6.47
2020-03-09,"SR","28",548,176.16,101.92,5.38
2020-03-09,"SR","86",568,252.03,152.67,3.72
2020-03-09,"","amb",520,NA,NA,NA
2020-03-09,"SR","33",548,166.74,84.75,6.47
2020-03-09,"SR","4",561,201.74,102.47,5.47
2020-03-09,"SR","46",601,177.05,97.39,6.17
2020-03-09,"SR","63",578,235.19,151.89,3.81
2020-03-09,"SR","8",563,181.59,85.36,6.6
2020-03-09,"SR","13",572,190.55,90.63,6.31
2020-03-09,"","amb",549,NA,NA,NA
2020-03-11,"","amb",469,NA,NA,NA
2020-03-11,"SR","56",545,265.02,152.43,3.58
2020-03-11,"SR","61",570,281.95,160.64,3.55
2020-03-11,"SR","80",566,291.56,166.88,3.39
2020-03-11,"SR","73",550,307.22,177.59,3.1
2020-03-11,"SR","35",569,189.06,101.25,5.62
2020-03-11,"SR","14",497,169.59,75.2,6.61
2020-03-11,"SR","26",534,197.47,109.02,4.9
2020-03-11,"SR","49",547,181.45,86.72,6.31
2020-03-11,"SR","28",525,176.66,101.92,5.15
2020-03-11,"SR","86",546,252.27,152.67,3.58
2020-03-11,"","amb",514,NA,NA,NA
2020-03-11,"SR","33",535,166.89,84.75,6.31
2020-03-11,"SR","4",536,201.49,102.47,5.23
2020-03-11,"SR","46",543,177.4,97.39,5.58
2020-03-11,"SR","63",560,234.73,151.89,3.69
2020-03-11,"SR","8",554,182.18,85.36,6.49
2020-03-11,"SR","13",552,190.6,90.63,6.09
2020-03-11,"","amb",533,NA,NA,NA
2020-03-12,"","amb",484,NA,NA,NA
2020-03-12,"SR","56",518,265.09,152.43,3.4
2020-03-12,"SR","61",571,282.05,160.64,3.55
2020-03-12,"SR","80",548,291.62,166.88,3.28
2020-03-12,"SR","73",542,307.89,177.59,3.05
2020-03-12,"SR","35",553,189.06,101.25,5.46
2020-03-12,"SR","14",532,169.6,75.2,7.07
2020-03-12,"SR","26",558,197.56,109.02,5.12
2020-03-12,"SR","49",541,181.59,86.72,6.24
2020-03-12,"SR","28",545,176.77,101.92,5.35
2020-03-12,"SR","86",542,252.1,152.67,3.55
2020-03-12,"","amb",516,NA,NA,NA
2020-03-12,"SR","33",543,167.2,84.75,6.41
2020-03-12,"SR","4",535,202.01,102.47,5.22
2020-03-12,"SR","46",541,177.55,97.39,5.55
2020-03-12,"SR","63",548,234.48,151.89,3.61
2020-03-12,"SR","8",533,181.45,85.36,6.24
2020-03-12,"SR","13",536,190.51,90.63,5.91
2020-03-12,"","amb",517,NA,NA,NA
