"date","Site","Core","PPM_CO2","Mass_g"
2020-03-09,"","amb",520,NA
2020-03-09,"SR","33",548,166.74
2020-03-09,"SR","4",561,201.74
2020-03-09,"SR","46",601,177.05
2020-03-09,"SR","63",578,235.19
2020-03-09,"SR","8",563,181.59
2020-03-09,"SR","13",572,190.55
2020-03-09,"","amb",549,NA
2020-03-11,"","amb",469,NA
2020-03-11,"SR","56",545,265.02
2020-03-11,"SR","61",570,281.95
2020-03-11,"SR","80",566,291.56
2020-03-11,"SR","73",550,307.22
2020-03-11,"SR","35",569,189.06
2020-03-11,"SR","14",497,169.59
2020-03-11,"SR","26",534,197.47
2020-03-11,"SR","49",547,181.45
2020-03-11,"SR","28",525,176.66
2020-03-11,"SR","86",546,252.27
2020-03-11,"","amb",514,NA
2020-03-11,"SR","33",535,166.89
2020-03-11,"SR","4",536,201.49
2020-03-11,"SR","46",543,177.4
2020-03-11,"SR","63",560,234.73
2020-03-11,"SR","8",554,182.18
2020-03-11,"SR","13",552,190.6
2020-03-11,"","amb",533,NA
2020-03-12,"","amb",484,NA
2020-03-12,"SR","56",518,265.09
2020-03-12,"SR","61",571,282.05
2020-03-12,"SR","80",548,291.62
2020-03-12,"SR","73",542,307.89
2020-03-12,"SR","35",553,189.06
2020-03-12,"SR","14",532,169.6
2020-03-12,"SR","26",558,197.56
2020-03-12,"SR","49",541,181.59
2020-03-12,"SR","28",545,176.77
2020-03-12,"SR","86",542,252.1
2020-03-12,"","amb",516,NA
2020-03-12,"SR","33",543,167.2
2020-03-12,"SR","4",535,202.01
2020-03-12,"SR","46",541,177.55
2020-03-12,"SR","63",548,234.48
2020-03-12,"SR","8",533,181.45
2020-03-12,"SR","13",536,190.51
2020-03-12,"","amb",517,NA
