Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,DOC_192,DOC_193,DOC_194,DOC_195,DOC_196,DOC_197,DOC_198,DOC_199,DOC_200,DOC_201,DOC_202,DOC_203,DOC_204,DOC_205,DOC_206,DOC_207,DOC_208,DOC_210,DOC_211,DOC_212,DOC_213,DOC_214,DOC_215,DOC_216,DOC_217,DOC_218,DOC_219,DOC_220,DOC_221,DOC_222,DOC_223,DOC_224,DOC_225,DOC_226,DOC_227,DOC_228,DOC_229,DOC_230,DOC_231,DOC_232,DOC_233,DOC_234,DOC_235,DOC_236,DOC_237,DOC_238,DOC_239,DOC_240,DOC_241,DOC_242,DOC_243,DOC_244,DOC_245,DOC_246,DOC_247,DOC_248,DOC_249,DOC_250,DOC_251,DOC_252,DOC_253,DOC_254,DOC_DI_Raw_H2O_Blank,DOC_Filter_Blank_1,DOC_Filter_Blank_2,DOC_Filter_Blank_3,DOC_MeOH_Blank_001,DOC_MeOH_Blank_002,DOC_Solution_Blank_1,DOC_Solution_Blank_2,DOC_Solution_Blank_3,DOC_191
399.096536,14,24,11,0,0,1,0,0,CHOS,Carb,400.10381246688,0.299513816833222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4842017.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.103002857143,0,0,0,0,0,0,0,0,,None,400.110279324023,0,0,9408364,13739750,10967637,13007702,7739570.5,0,15566136,0,9461220,0,3560241.3,3729870.8,0,0,0,0,3429253.8,0,0,0,0,0,0,0,0,3123969.3,0,4242407.5,5567383.5,3636517,7489061,5073677.5,4494165,4524984,3736521,3033796.5,3870842.5,0,6109372.5,5882908.5,5718341,0,5412377,0,5146422,3890585.3,0,4148929,3892167.3,3687138.5,0,4653447.5,3619904,4223842,0,0,0,0,4032030.5,0,0,0,0,0,0,0,0,0,0,0,0,12351953
399.10457725,16,20,10,2,0,0,0,0,CHON,Lignin,400.11185371688,-0.147067574768908,2,0,0,0,0,0,0,7363897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644686.5,3735893.5,0,0,0,0,0,3524796.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.106223066667,14,25,11,0,0,0,1,0,CHOP,Carb,400.113499533547,-0.128408430591682,4,17615726,10952425,0,12716888,6689460.5,7844247,5531450.5,12197710,7612902,5408230,7796018.5,0,8663773,0,3945025,5798919.5,4429703,0,3770743.5,0,0,12151781,7051839,3496699.8,3768651.3,0,3834967,3399657,5317529,0,6154790.5,5451535.5,4263766,4223418,5232586,3587269.8,7081595.5,5794979,3925181.3,5793822,10553670,10145209,6014490.5,3690403,18438966,4265882.5,5669976,12359362,6055368.5,0,8970823,5229961,6623809.5,9297764,7708402.5,4724301.5,6357613,5963951.5,6891040,5067722,9440097,4367969.5,0,17987648,13398926,10806340,0,0,9040563,10417106,8914607,42250708
399.108554278688,21,20,8,0,0,0,0,0,CHO,Lignin,400.115830745568,-0.0328074207506254,1,12194672,15306475,18362968,13531994,15449270,11476377,15965500,14083919,11572711,8758248,10195252,5621712,5486301.5,2863823.3,4631105.5,3513352.3,4439944,3169067.8,0,3085171,3167085.3,5200870,3789887.8,7107836.5,9292108,12177668,7653975.5,7137258,9238426,11600679,13268520,15258384,7610199,9412539,8731595,6327495,7536252.5,6901924,7152829.5,8796190,9208135,5283258.5,5512731.5,7174051.5,7528247.5,7956891,8257625,9967299,8626633,5619428,7529032,10984842,8904258,11036517,8469236,8685134,7333486,7452848.5,6030880.5,3591626.5,4156257.3,4671074.5,0,0,0,0,0,0,0,0,0,0
399.111815714286,18,24,8,0,0,1,0,0,CHOS,Lignin,400.119092181166,0.240568461434138,3,0,4592365,0,0,0,0,0,3714897.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6139433.5,3958546,0,0,3501003.5,0,0,0,3449022.5,0,3207497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.116802,0,0,0,0,0,0,0,0,,None,400.12407846688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4499438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.117423,13,25,10,2,0,0,1,0,CHONP,Carb,400.12469946688,-0.0447934857430512,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.119220333333,0,0,0,0,0,0,0,0,,None,400.126496800213,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4188231.3,4299668,6581323,0,0,4497082,6032343.5,5633716.5,0
399.121631393939,0,0,0,0,0,0,0,0,,None,400.128907860819,0,1,58852216,88112888,63296100,81384288,57560252,68441504,100011336,60428120,53751280,29459440,18059578,18091986,12187362,4997841.5,8511046,8344588,12903309,12193070,7480699.5,11123573,7563634,8129514,7152195.5,11085056,10203474,11671817,11797084,12773360,32374690,19221292,46450224,30208792,21743452,17659842,20329422,13810893,19189376,13244585,32815296,27191330,35262796,14562752,28791330,14507943,27573052,25954720,11112540,11988679,14434766,9229032,11924045,13204880,11955783,13191018,14873337,9870931,13487732,9216181,14519846,10605519,9253734,7086695,0,0,0,4030540.3,0,0,3730107.3,3615704.5,0,81449440
399.12413759375,0,0,0,0,0,0,0,0,,None,400.13141406063,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4122636.8,6212493.5,0,4914556,6376309,0,0,0,4486912.5,4403539,3387145.8,7518812.5,6340593.5,0,0,0,0,3884381.3,0,0,0,0,0,0,0,0,0,0,0,0,0,9844828,11245256,10478031,6790889,6781518.5,11384209,12316232,21636972,4700921.5,6040148,14347893,6343862,8975911,5771215.5,5703527.5,9602664,0,9744458,7796630.5,14601293,0,0,9091772,9774041,7896758.5,0
399.125716666667,13,24,12,2,0,0,0,0,CHON,Carb,400.132993133547,-0.172161626008784,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11530315,10245015,17085518,0,0,11469501,11330522,8804023,0
399.126272,0,0,0,0,0,0,0,0,,None,400.13354846688,0,0,0,0,0,0,0,0,0,0,0,3857395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.129686347826,18,24,10,0,0,0,0,0,CHO,Lignin,400.136962814706,-0.0395447250356668,2,131662720,165592832,164778608,165008240,163671232,233657776,186797392,168152928,109768176,66057204,39166268,33468372,27959012,12078803,22183496,21087246,35986320,20671790,13659518,28875638,20621684,20687852,23292486,30551298,35191124,31555852,31820382,29575156,58834852,39258928,85354032,58004252,52713312,44701636,45847504,26193104,43822724,32118956,54139076,51660836,61583696,40113604,50475556,33652648,47594304,44173732,33017950,33959624,45560272,16835306,40151632,46067092,42370632,40998764,46617340,35126872,40664696,31846584,44559912,24486866,26444650,22279786,0,23812172,19727258,30639184,0,0,20241088,23874524,17698490,161960416
399.139399642857,0,0,0,0,0,0,0,0,,None,400.146676109737,0,0,11052934,14337793,14350961,13259632,10447049,9102770,18292052,10637159,9362935,7087099.5,5007681,3652566.3,0,0,0,0,3045267.3,0,0,0,0,0,0,3303172.8,0,0,3235425.5,3197945,7636906.5,5589811.5,12764728,8477472,5315427,6062026,6333395.5,3717332.5,5385862.5,4842672,8382661,6955048,7977301.5,3570120,8206890,4548524.5,6326082,6350246,3361888,3871437.3,5443028.5,0,0,0,0,3556210.3,4571391.5,0,0,3868859,3729964.3,0,0,0,0,0,0,0,0,0,0,0,0,12577257
399.142702191176,0,0,0,0,0,0,0,0,,None,400.149978658056,0,0,10359688,16183044,8973939,19784562,8638667,9533876,8482136,10632041,6288889,6780925.5,5722434.5,3469271,4555496.5,0,3292492.5,6374418,4866964.5,3868976.8,4962689,4238199,5262713,8044528,8606282,4969733.5,5380442.5,3708689.3,7610978.5,7417850.5,5830572.5,3874613,9492025,7013154,7761764.5,4156363.3,10259413,4010198,8590983,3546289.5,9138374,6869033,8618327,5551561.5,9321003,3214765.8,9278275,3430311,8294497,13119182,10867158,5937902.5,11557462,9778584,10163791,11718516,12385025,8128091,12170878,8106172,11247150,7334869.5,9712494,6745711,0,18360404,15344543,19334230,0,0,13978310,15268833,14126783,28221932
399.14493625,22,24,7,0,0,0,0,0,CHO,Lignin,400.15221271688,-0.0239703286334567,1,9201546,11955973,13494901,11180916,11107532,6240694,9936217,8244075,6909434.5,5633023,5791043.5,3216343.3,3858153.3,0,0,0,0,0,0,0,0,0,0,3529990.3,3285851.5,5216530,3865699.3,3834363.8,6091693.5,6998838,8478266,9499427,3901285.3,6657996.5,4874197.5,3670231,5261960,4590770.5,5224646,6992938,6493528.5,4080074.5,5366316.5,3321262.5,4569411.5,4553128,3315297.3,3806927,3542998.8,3556079.3,0,4938137.5,0,4727668.5,3783937.8,3818588,3545727,3376829,0,0,0,3582575.5,0,0,0,0,0,0,0,0,0,8293869.5
399.148288666667,19,28,7,0,0,1,0,0,CHOS,Lignin,400.155565133547,0.0220163210338959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564911.5,5289783.5,7620156,7942948.5,3706726.8,5781454,0,3486936.5,0,3897523.8,0,8155179,4999514,6740428,0,0,0,3806633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.1521616,0,0,0,0,0,0,0,0,,None,400.15943806688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917401.8,0,3280466.5,0,0,0,3621506.3,0,4495921.5,0,3612529.8,0,0,0,0,0,0,0,0,0,0,0
399.1556032,0,0,0,0,0,0,0,0,,None,400.16287966688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7024641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165725.5,0,0,3775181,5353446,3436740.8,0
399.158009074627,0,0,0,0,0,0,0,0,,None,400.165285541507,0,1,45786004,58097424,56644224,57561980,44543188,39548352,68636000,40505204,35442176,30503944,20549962,14272474,9787118,5918423.5,7690833,6021142.5,8647578,8004915,5585285,8584057,5893502,6695924.5,5967438.5,9008394,7833953,10391831,11041384,11292674,33202100,20958012,56518208,32027434,23369578,21247954,29012954,14253277,19648140,15055032,37009608,30214190,35901792,16397776,38138420,16986034,26741576,28043692,13668452,14896851,22798812,8234739,10949212,13016479,13448789,13635450,16827142,11019873,15330949,13664450,20155956,11117531,13661044,9746036,0,3710555,3558310.8,4605022.5,0,0,0,4064231,0,55030264
399.16053225,0,0,0,0,0,0,0,0,,None,400.16780871688,0,0,0,7956241,0,9481088,0,5345219,0,7883638.5,0,0,0,3716570.5,0,0,0,3453975.3,4033434.8,3648307.3,0,0,3414398.8,0,3671631.3,3229194.3,4330850,3467544.5,4313704.5,4275203,0,0,0,0,3425131.5,0,4759514,0,0,0,0,0,0,0,0,0,0,0,4032613,3574996.3,6275548.5,0,4973149.5,4350880,6764117.5,3411323.5,5662472,0,5840518,4136642.5,6777396.5,0,3465077,4083317.3,0,20052060,18072488,30475360,0,0,22379216,23579624,19091144,0
399.166070257143,19,28,9,0,0,0,0,0,CHO,Lignin,400.173346724023,-0.0355504007178836,1,69583768,93404952,83841672,96752512,78949592,91313608,72846696,80990072,54898180,52360204,31121740,30142428,19529456,10346201,17821268,18703384,24103836,15080756,13163911,19688314,19585408,17157110,21858896,22674700,30177636,23327002,29403754,26859526,45211576,31796030,65889860,47657772,39982956,35944408,42365916,21011680,34942608,24742074,43849932,40937520,50286948,31069652,44601912,26464180,38411084,35006896,27922534,26726102,38212064,13906678,29321824,36007332,32925272,31700862,37581580,27127396,33578632,26198212,42757688,22430686,24023928,22861432,0,68278368,52863916,91841632,3755158.5,0,59226836,64351212,49123016,87560696
399.167441,0,0,0,0,0,0,0,0,,None,400.17471746688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5475027,0,0,0
