"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"20",2019-09-04 09:25:06,4,50.680036367,414.87230786,101,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 10:11:03,4,48.115367613,418.799619,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 11:00:01,4,48.102173778,420.59084329,100,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 17:57:27,1,51.366474954,460.82783123,0,"sat","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 10:58:21,4,48.102173778,419.74238745,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 10:59:11,4,48.102173778,420.45163199,50,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 18:24:10,1,51.366474954,573.39323649,49,"sat","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 17:58:17,1,51.366474954,462.62022341,50,"sat","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 18:23:21,1,51.366474954,529.09894719,0,"sat","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"27",2019-09-25 22:37:12,10,49.31325893,583.95254921,53,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 03:20:10,10,44.728708612,458.04108005,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 03:20:59,10,44.728708612,496.34559043,49,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-25 22:37:08,10,49.285363025,581.663743,49,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 02:34:25,10,44.759788093,527.49638312,101,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-25 21:49:01,10,49.966994769,621.03470648,0,"drought","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-25 21:49:51,10,49.966994769,629.4065847,50,"drought","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 09:38:59,10,45.936981113,480.71727621,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 09:39:50,10,45.936981113,528.54741569,51,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 09:40:40,10,45.936981113,540.76286104,101,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 10:26:42,10,45.936981113,478.47809368,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-25 22:36:19,10,49.285363025,576.82891643,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 02:33:35,10,44.759788093,515.39256667,51,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 06:30:59,10,45.403501962,510.10472996,98,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 07:16:57,10,45.403501962,506.3683688,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 07:17:46,10,45.403501962,541.76111577,49,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 07:18:36,10,45.403501962,551.1109478,99,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 08:04:42,10,45.354141711,500.795659,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 08:05:32,10,45.354141711,519.25178855,50,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 08:52:10,10,45.936981113,491.42331073,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 08:53:00,10,45.936981113,508.51873628,50,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 13:36:54,10,45.340935033,504.11255018,51,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 14:23:40,10,45.340935033,447.42877626,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 14:24:29,10,45.340935033,472.08243561,49,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 15:10:58,10,45.9323382,435.62055888,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 10:27:31,10,45.936981113,504.16845546,49,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 11:14:21,10,45.936981113,480.24107627,0,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
"27",2019-09-26 11:15:09,10,45.936981113,495.43765507,48,"sat","S27","SR","lowland","forced","30 day",3,"SR_30d_low_FAD_r3"
