,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
16,6.16,0,1.3,0.17,Artifact,Weak,,,46,4.38,0,2.12,0.73,Compound,None,,,76,3.51,0,0.86,0.26,Compound,None,,,106,3.05,0,1.58,0.68,Compound,None,,,136,2.34,0.1,1.28,2.24,Solvent,Weak + C13_Sat,,,166,1.09,0,10.47,2.9,Compound,None,,
17,5.42,0,49.27,3.81,Artifact,Weak,,,47,4.35,0.2,7.38,21.93,Compound,None,,,77,3.5,0.1,2.48,2.57,Compound,None,,,107,3.05,0,2.33,1.17,Compound,None,,,137,2.33,0.3,1.43,6.48,Solvent,Weak + C13_Sat,,,167,1.07,0,1.19,0.38,Compound,None,,
18,5.23,0,1.34,0.16,Artifact,Weak,,,48,4.34,0.3,3.14,11.96,Compound,None,,,78,3.48,0.2,3.71,7.22,Compound,None,,,108,3.04,0.1,2.48,2.3,Compound,None,,,138,2.33,0.5,1.28,7.89,Solvent,Weak + C13_Sat,,,168,1.05,0.1,5.42,5.8,Compound,None,,
19,5.11,0,10.4,5.56,Compound,None,,,49,4.32,0.1,3.03,4.83,Compound,None,,,79,3.47,0.2,2.22,4.96,Compound,None,,,109,3.03,0,2.6,1.36,Compound,None,,,139,2.32,0.3,1.39,6.08,Solvent,Weak + C13_Sat,,,169,1.05,0.1,2.88,2.09,Compound,None,,
20,5,0,0.52,0.05,Artifact,Weak,,,50,4.28,0,1.84,1.04,Compound,None,,,80,3.45,0.1,2.75,3.21,Artifact,Weak,,,110,3.02,0,1.26,0.09,Artifact,Weak,,,140,2.32,0.1,1.2,1.86,Solvent,Weak + C13_Sat,,,170,1.04,0,4.96,3.12,Compound,None,,
21,4.91,0.1,3.39,3.73,Compound,None,,,51,4.26,0.1,2.77,1.99,Compound,None,,,81,3.44,0.1,2.12,2.4,Artifact,Weak,,,111,3.01,0,0.55,0.06,Artifact,Weak,,,141,2.3,0,1.03,0.59,Impurity,None,,,171,1.03,0,2.79,1.8,Compound,None,,
22,4.9,0.1,3.44,5.21,Compound,None,,,52,4.26,0,1.46,0.6,Compound,None,,,82,3.42,0,1.71,0.38,Artifact,Weak,,,112,2.91,0,2.24,0.43,Compound,None,,,142,2.22,0,6.41,0.86,Compound,None,,,172,1,0,0.9,0.1,Artifact,Weak,,
23,4.89,0.1,1.97,1.77,Compound,None,,,53,4.25,0.1,2.14,1.36,Compound,None,,,83,3.42,0,1.82,1.07,Artifact,Weak,,,113,2.9,0,2.78,0.9,Compound,None,,,143,2.12,0,1.39,0.18,Artifact,Weak,,,173,0.98,0,0.65,0.07,Artifact,Weak,,
24,4.88,0.5,2,13.04,Compound,None,,,54,4.14,0,4.11,2.32,Compound,None,,,84,3.4,0,2.48,1.16,Artifact,Weak,,,114,2.89,0,3.6,1.17,Compound,None,,,144,2.09,0.1,1.85,1.84,Compound,None,,,174,0.87,0,12.7,7.84,Compound,None,,
25,4.87,0.5,2,12.83,Compound,None,,,55,4.13,0,3.39,1.77,Compound,None,,,85,3.39,0.1,3.25,3.74,Artifact,Weak,,,115,2.88,0,2.93,1.4,Compound,None,,,145,2.08,0,0.64,0.1,Impurity,Weak,,,175,0.85,0.1,2.87,2.62,Compound,None,,
26,4.83,0.2,3.29,7.43,Compound,None,,,56,3.78,0,1.64,0.32,Impurity,None,,,86,3.37,0.1,3.15,3.71,Artifact,Weak,,,116,2.86,0,2.66,0.67,Compound,None,,,146,2.06,0,2.11,0.56,Impurity,None,,,176,0.84,0,5.6,3.21,Compound,None,,
27,4.82,0.1,2.74,4.69,Compound,None,,,57,3.74,0,18.13,4.31,Compound,None,,,87,3.27,0,1.47,0.46,Artifact,Weak,,,117,2.68,0.1,1.3,2.34,Solvent,Weak + C13_Sat,,,147,1.96,0,1.02,0.13,Impurity,Weak,,,177,0.07,0,1.82,0.24,Impurity,Weak,,
28,4.77,0.3,3.91,19.2,Compound,None,,,58,3.67,0.1,2.35,2.21,Compound,None,,,88,3.26,0.1,1.75,2.08,Artifact,Weak,,,118,2.67,0.3,1.27,5.53,Solvent,Weak + C13_Sat,,,148,1.84,0.4,9.18,43.37,Compound,None,,,178,-0.19,0,0.86,0.08,Artifact,Weak,,
29,4.76,0.2,3.74,9.68,Compound,None,,,59,3.66,0.1,2.45,3.37,Compound,None,,,89,3.25,0.1,6.69,14.45,Artifact,Weak,,,119,2.67,0.5,1.42,9.18,Solvent,Weak + C13_Sat,,,149,1.83,0.2,4.18,8.02,Compound,None,,,,,,,,,,,
30,4.75,0.3,3.37,13.76,Compound,None,,,60,3.65,0.1,1.81,1.7,Compound,None,,,90,3.24,0.1,1.68,1.71,Artifact,Weak,,,120,2.66,0.3,1.26,5.24,Solvent,Weak + C13_Sat,,,150,1.77,0,1.51,0.85,Compound,None,,,,,,,,,,,
