,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,3.5,0,1.8,0.28,Artifact,Weak,,,38,2.27,0,2.94,0.24,Artifact,Weak,,,65,1.15,0.2,3.28,7.72,Compound,None,,,92,0.07,2.5,1.72,52.67,Compound,None,,
12,3.45,0.2,40.14,90.21,Artifact,Weak,,,39,2.23,0,1.03,0.12,Impurity,Weak,,,66,1.11,0,1.03,0.17,Impurity,None,,,93,0.06,0.1,2.56,2.51,Compound,None,,
13,3.44,0.1,11.76,10.38,Artifact,Weak,,,40,2.21,0,3.39,0.37,Impurity,Weak,,,67,1.1,0,1.06,0.09,Artifact,Weak,,,94,0.05,0.1,2.92,3.7,Compound,None,,
14,3.16,0,51.1,12.77,Artifact,Weak,,,41,2.2,0,1.11,0.08,Artifact,Weak,,,68,1.06,0,0.67,0.06,Artifact,Weak,,,95,0.04,0,6.18,1.22,Artifact,Weak,,
15,3.13,0,1.91,0.89,Artifact,Weak,,,42,2.19,0,2.43,0.52,Compound,None,,,69,1.05,0,2.76,0.31,Impurity,Weak,,,96,0,0,0.93,0.2,CS Reference,Weak,,
16,3.1,0,1.23,0.13,Artifact,Weak,,,43,2.17,0,3.19,1.48,Compound,None,,,70,1.04,0,1.89,0.22,Impurity,Weak,,,97,0,0,0.77,0.13,CS Reference,Weak,,
17,2.68,0.1,1.35,2.36,Solvent,Weak + C13_Sat,,,44,2.15,0,2.1,0.5,Compound,None,,,71,1.02,0,2.78,0.4,Impurity,None,,,98,-0.01,0.1,3.13,1.96,CS Reference,Weak,,
18,2.67,0.3,1.34,5.04,Solvent,Weak + C13_Sat,,,45,2.11,0,2.52,0.83,Compound,None,,,72,1.02,0,2.11,0.43,Impurity,None,,,99,-0.01,0,1.05,0.26,CS Reference,Weak,,
19,2.67,0.5,1.42,10.34,Solvent,Weak + C13_Sat,,,46,2.09,0,1.66,0.18,Impurity,Weak,,,73,1.01,0,2.8,0.35,Impurity,None,,,100,-0.02,0.3,1.02,3.78,CS Reference,None,,
20,2.66,0.3,1.25,5.15,Solvent,Weak + C13_Sat,,,47,2.05,0,32.04,4.78,Compound,None,,,74,1,0,1.55,0.29,Impurity,None,,,101,-0.03,6.1,1.19,86.2,CS Reference,None,,
21,2.66,0.1,1.24,2.13,Solvent,Weak + C13_Sat,,,48,2.03,0,0.98,0.06,Artifact,Weak,,,75,0.99,0,0.78,0.17,Impurity,None,,,102,-0.04,0.3,0.81,2.79,CS Reference,None,,
22,2.63,0,18.19,4.08,Compound,None,,,49,2.02,0,1.3,0.24,Impurity,None,,,76,0.98,0,0.84,0.12,Impurity,None,,,103,-0.06,0,1.03,0.2,CS Reference,Weak,,
23,2.56,0.1,40.4,35.45,Artifact,Weak,,,50,1.9,0.1,1.12,1.93,Compound,None,,,77,0.97,0,1.64,0.2,Impurity,None,,,104,-0.08,0,1.92,0.19,Compound,Weak + C13_Sat,,
24,2.52,0.3,0.94,2.9,Solvent,Weak,,,51,1.83,0,65.18,33.68,Compound,None,,,78,0.92,0,0.84,0.07,Artifact,Weak,,,105,-0.18,0,1.03,0.57,CS Reference,Weak + C13_Sat,,
25,2.52,0.2,0.67,1.29,Solvent,Weak,,,52,1.78,0,1.08,0.08,Artifact,Weak,,,79,0.9,0,1.03,0.1,Impurity,Weak,,,106,-0.56,0,1.33,0.11,Artifact,Weak,,
26,2.51,23.4,1.22,311.26,Solvent,None,,,53,1.5,0,15.7,2.46,Compound,None,,,80,0.89,0,0.89,0.06,Artifact,Weak,,,107,-1.23,0,0.57,0.04,Artifact,Weak,,
27,2.5,61,1.37,1069.6,Solvent,None,,,54,1.47,0,24.02,3.06,Compound,None,,,81,0.87,0,3.73,1.2,Compound,None,,,,,,,,,,,
