,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,6.55,0,3.32,0.76,Impurity,None,,,38,4.28,0,3.39,0.26,Artifact,Weak,,,65,2.5,67.4,1.95,1689.41,Solvent,None,,,92,1.3,0,3.21,0.31,Artifact,Weak,,
12,6.54,0,0.49,0.03,Artifact,Weak,,,39,4.27,0,3.68,0.42,Impurity,None,,,66,2.5,75.2,2.04,1988.72,Solvent,None,,,93,1.28,0,4.21,0.72,Compound,None,,
13,6.2,0,3.7,0.88,Impurity,None,,,40,4.25,0,2.3,0.27,Impurity,Weak,,,67,2.5,37.2,1.79,729.38,Solvent,None,,,94,1.26,0,3.4,0.96,Compound,None,,
14,6.19,0,1.89,0.48,Impurity,None,,,41,4.13,0.1,28.5,17.59,Compound,None,,,68,2.49,11.1,1.38,145.19,Solvent,None,,,95,1.26,0,1.01,0.2,Compound,None,,
15,5.98,0,0.51,0.04,Artifact,Weak,,,42,4.04,0,0.39,0.03,Artifact,Weak,,,69,2.45,0.2,76.46,203.79,Artifact,Weak,,,96,1.24,0.1,5.95,8.54,Compound,None,,
16,5.93,0,0.46,0.03,Artifact,Weak,,,43,3.86,0,0.62,0.06,Artifact,Weak,,,70,2.44,0,15.99,4.58,Artifact,Weak,,,97,1.15,0,4.44,1,Compound,None,,
17,5.45,0,0.33,0.03,Artifact,Weak,,,44,3.57,0,3.04,0.53,Impurity,None,,,71,2.41,0,16.81,2.88,Artifact,Weak,,,98,1.05,0,6.02,1.52,Compound,None,,
18,5.11,0,11.52,0.87,Artifact,Weak,,,45,3.43,0.3,86.11,312.49,Compound,None,,,72,2.36,0.1,75.53,112.01,Compound,None,,,99,1.03,0,5.33,1.18,Compound,None,,
19,4.91,0,11.92,2.28,Compound,None,,,46,3.39,0.3,24.42,79.2,Artifact,Weak,,,73,2.34,0,1.6,1.02,Solvent,Weak + C13_Sat,,,100,1.01,0,29.34,2.52,Artifact,Weak,,
20,4.88,0,12.39,1.4,Compound,None,,,47,3.25,0.2,145.14,253.93,Artifact,Weak,,,74,2.34,0.2,2.04,5.43,Solvent,Weak + C13_Sat,,,101,0.86,0,6.93,1.73,Compound,None,,
21,4.83,0,4.4,1.93,Compound,None,,,48,3.21,0.1,33.84,19.3,Artifact,Weak,,,75,2.33,0.4,2.28,12.14,Solvent,Weak + C13_Sat,,,102,0.83,0,24.48,10.74,Compound,None,,
22,4.81,0,2.84,1.03,Compound,None,,,49,3.15,0,0.23,0.02,Artifact,Weak,,,76,2.33,0.4,1.87,9.61,Solvent,Weak + C13_Sat,,,103,0.48,0,0.73,0.08,Artifact,Weak,,
23,4.81,0,1.84,0.38,Compound,None,,,50,3.13,0,2.64,0.46,Impurity,None,,,77,2.32,0.2,1.96,6,Solvent,Weak + C13_Sat,,,104,-1.42,0,0.62,0.05,Artifact,Weak,,
24,4.76,0,5.38,1.8,Compound,None,,,51,3.1,0,3.87,0.58,Impurity,Weak,,,78,2.32,0.1,1.29,0.63,Solvent,Weak + C13_Sat,,,105,-1.89,0,0.59,0.05,Artifact,Weak,,
25,4.74,0,6.91,2.35,Compound,None,,,52,3.04,0,5.14,0.79,Impurity,Weak,,,79,2.3,0,0.8,0.08,Artifact,Weak,,,106,-2.24,0,0.55,0.04,Artifact,Weak,,
26,4.62,0,4.44,0.56,Impurity,None,,,53,2.69,0.1,29.88,31.89,Compound,None,,,80,2.3,0,2.35,0.24,Artifact,Weak,,,,,,,,,,,
27,4.61,0,2.96,0.57,Impurity,None,,,54,2.68,0,1.89,1.35,Solvent,Weak + C13_Sat,,,81,2.29,0,0.85,0.13,Artifact,Weak,,,,,,,,,,,
