,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,4.88,0.2,1.98,4.42,Compound,None,,,38,3.58,0,2.53,1.29,Compound,None,,,65,3.01,0,0.55,0.06,Artifact,Weak,,,92,1.3,0,1.58,0.46,Impurity,None,,
12,4.87,0.2,1.88,3.98,Compound,None,,,39,3.57,0.1,3.18,2.32,Compound,None,,,66,2.89,0,1.46,0.15,Artifact,Weak,,,93,1.28,0,0.84,0.18,Compound,None,,
13,4.82,0,2.53,0.95,Compound,None,,,40,3.56,0.1,2.07,1.42,Compound,None,,,67,2.68,0.1,1.37,2.15,Solvent,Weak + C13_Sat,,,94,1.26,0,1.59,0.55,Compound,None,,
14,4.81,0,2.79,0.93,Compound,None,,,41,3.54,0.1,7.44,15.67,Compound,None,,,68,2.67,0.3,1.38,5.77,Solvent,Weak + C13_Sat,,,95,1.24,0.3,2.89,9.47,Compound,None,,
15,4.76,0.2,2.94,6.59,Compound,None,,,42,3.53,0.1,1.93,1.45,Compound,None,,,69,2.67,0.5,1.38,8.59,Solvent,Weak + C13_Sat,,,96,1.15,0.1,3.55,1.94,Compound,None,,
16,4.75,0.2,2.11,4.27,Compound,None,,,43,3.52,0,1.87,0.85,Compound,None,,,70,2.66,0.3,1.52,6.54,Solvent,Weak + C13_Sat,,,97,1.12,0,1.03,0.13,Artifact,Weak,,
17,4.74,0.1,1.93,3.45,Compound,None,,,44,3.5,0,2.49,1.26,Compound,None,,,71,2.66,0.1,1.16,1.57,Solvent,Weak + C13_Sat,,,98,1.05,0,1.05,0.15,Compound,Weak,,
18,4.74,0.1,1.94,3.36,Compound,None,,,45,3.48,0.1,4.57,3.96,Compound,None,,,72,2.52,0.3,1.45,5.74,Solvent,Weak,,,99,1.04,0,4.65,1.91,Compound,None,,
19,4.62,0,2.16,0.43,Compound,None,,,46,3.47,0.1,2.63,2.03,Compound,None,,,73,2.52,0.1,0.77,1.21,Artifact,Weak,,,100,1.02,0,4.74,1.48,Compound,None,,
20,4.61,0,3.01,0.55,Compound,None,,,47,3.45,0,3.4,1.76,Compound,Weak + C13_Sat,,,74,2.51,23,1.27,333.74,Solvent,None,,,101,0.98,0,0.52,0.06,Artifact,Weak,,
21,4.58,0.1,2.21,4.2,Compound,None,,,48,3.44,0,2.25,0.8,Compound,None,,,75,2.5,59,1.45,1094.89,Solvent,None,,,102,0.87,0,5.09,1.34,Compound,None,,
22,4.57,0.1,2.02,3.76,Compound,None,,,49,3.42,0,3.99,0.49,Artifact,Weak,,,76,2.5,84.4,1.34,1427.98,Solvent,None,,,103,0.85,0,2.58,1.16,Compound,None,,
23,4.48,0,1.5,0.24,Impurity,Weak,,,50,3.26,0,7.2,5.2,Artifact,Weak,,,77,2.5,58.1,1.45,1059.54,Solvent,None,,,104,0.83,0,16.81,8.78,Compound,None,,
24,4.46,0,1.47,0.28,Impurity,None,,,51,3.25,0,1.82,0.85,Artifact,Weak,,,78,2.49,22.1,1.23,298.06,Solvent,None,,,105,0.07,0,2.12,0.72,Compound,None,,
25,4.44,0,0.96,0.15,Impurity,Weak,,,52,3.24,0.1,2.16,1.51,Artifact,Weak,,,79,2.46,0,0.48,0.1,Artifact,Weak,,,106,-0.72,0,0.48,0.04,Artifact,Weak,,
26,4.42,0,1.46,0.25,Impurity,Weak,,,53,3.23,0.1,1.89,1.98,Compound,None,,,80,2.42,0,0.39,0.04,Artifact,Weak,,,107,-2.72,0,0.52,0.05,Artifact,Weak,,
27,4.39,0,2.28,0.3,Artifact,Weak,,,54,3.22,0,2.18,0.99,Artifact,Weak,,,81,2.34,0.1,1.25,2.14,Solvent,Weak + C13_Sat,,,108,-2.86,0,0.79,0.08,Artifact,Weak,,
