"coreID","depth","moisture_percent","weoc_g"
"C73","5cm-end",17.03,9.95
"C75","0-5cm",127.5,20.33
"C75","5cm-end",23.2,21.06
"C76","0-5cm",3.19,10
"C76","5cm-end",2.33,10
"C77","0-5cm",863.64,
"C77","5cm-end",255.17,
"C78","0-5cm",17.07,10
"C78","5cm-end",20.51,10
"C79","0-5cm",359.09,10.01
"C79","5cm-end",316.67,10.04
"C80","0-5cm",20.37,5.46
"C80","5cm-end",12.93,10
"C81","0-5cm",152.49,9.98
"C81","5cm-end",23.98,10.04
"C82","0-5cm",90.43,10
"C82","5cm-end",20.81,10.03
"C83","0-5cm",14.39,10
"C83","5cm-end",1.38,10
"C84","0-5cm",10.1,5.94
"C84","5cm-end",3.7,10
"C85","0-5cm",3.06,10
"C85","5cm-end",34.67,10.05
"C86","0-5cm",30.19,10.03
"C86","5cm-end",17.93,9.95
"S3","0-5cm",70.13,17.01
"S3","5cm-end",75.18,17.52
"S6","0-5cm",65.08,16.51
"S6","5cm-end",72.58,17.26
"S9","0-5cm",89.45,18.95
"S9","5cm-end",82.82,18.28
"S11","0-5cm",66.48,16.66
"S11","5cm-end",69.28,16.93
"S15","0-5cm",65.23,16.52
"S15","5cm-end",70.56,17.06
"S16","0-5cm",80.7,18.07
"S16","5cm-end",74.14,17.41
"S18","0-5cm",60,15.9
"S18","5cm-end",75.37,17.54
"S20","0-5cm",75.56,17.56
"S20","5cm-end",73.76,17.38
"S27","0-5cm",,
"S27","5cm-end",,
"S34","0-5cm",63.25,16.32
"S34","5cm-end",74.28,17.44
"S37","0-5cm",74.57,17.52
"S37","5cm-end",70.8,17.1
"S39","0-5cm",48.61,12.42
"S39","5cm-end",76.56,17.66
"S44","0-5cm",67.14,16.71
"S44","5cm-end",80.7,18.07
"S52","0-5cm",41.2,14.1
"S52","5cm-end",51.76,15.14
"S53","0-5cm",39.54,13.95
"S53","5cm-end",54.38,15.44
"S54","0-5cm",46.17,14.62
"S54","5cm-end",60.64,16.06
"S57","0-5cm",17.2,11.72
"S57","5cm-end",61.19,16.12
"S62","0-5cm",49.03,14.91
"S62","5cm-end",51.24,15.12
"S65","0-5cm",46.18,14.55
"S65","5cm-end",55.9,15.63
"S66","0-5cm",43.34,14.33
"S66","5cm-end",51.87,15.19
"S67","0-5cm",50.67,15.07
"S67","5cm-end",53.09,15.31
"S70","0-5cm",40.96,14.1
"S70","5cm-end",54.3,15.43
"S72","0-5cm",45.69,14.58
"S72","5cm-end",47.31,14.74
"S76","0-5cm",13.19,11.32
"S76","5cm-end",53.95,15.39
"S78","0-5cm",46.42,14.64
"S78","5cm-end",50.01,15
"S83","0-5cm",28.64,12.86
"S83","5cm-end",70.53,17.05
"S87","0-5cm",34.95,13.5
"S87","5cm-end",50.73,15.07
"S56","0-5cm",20.69,12.08
"S56","5cm-end",53.62,15.38
"S61","0-5cm",34.62,13.48
"S61","5cm-end",56.92,15.73
"S80","0-5cm",55.88,15.61
"S80","5cm-end",50,15.01
"S73","0-5cm",48.65,14.88
"S73","5cm-end",51.47,15.2
"S35","0-5cm",14.94,8.47
"S35","5cm-end",68.85,16.91
"S14","0-5cm",68.33,16.88
"S14","5cm-end",72.58,17.26
"S26","0-5cm",15.91,11.62
"S26","5cm-end",58.82,15.88
"S49","0-5cm",55.38,15.55
"S49","5cm-end",66.67,16.69
"S28","0-5cm",8.51,10.85
"S28","5cm-end",55.22,15.54
"S86","0-5cm",5.88,10.6
"S86","5cm-end",49.28,14.93
"S33","0-5cm",12.9,10.3
"S33","5cm-end",72.13,17.23
"S4","0-5cm",24.71,12.48
"S4","5cm-end",70,17.02
"S46","0-5cm",12.22,11.23
"S46","5cm-end",64.52,16.48
"S63","0-5cm",5,10.54
"S63","5cm-end",36.36,13.66
"S8","0-5cm",61.54,16.16
"S8","5cm-end",73.77,17.39
"S13","0-5cm",68.33,16.86
"S13","5cm-end",65.63,16.58
"S91","0-5cm",7.8,10
"S91","5cm-end",7.09,10
"S24","0-5cm",9.72,10
"S24","5cm-end",7.96,10
"S81","0-5cm",6.37,10
"S81","5cm-end",6.17,10
"S45","0-5cm",8.38,10
"S45","5cm-end",8.06,10
"S43","0-5cm",8.05,10
"S43","5cm-end",7.09,10
"S79","0-5cm",6.01,10
"S79","5cm-end",5.67,10
"S95","0-5cm",7.66,10
"S95","5cm-end",6.65,10
"S84","0-5cm",7.1,10
"S84","5cm-end",6.18,10
"S32","0-5cm",9.29,10
"S32","5cm-end",8.02,10
"S21","0-5cm",8.02,10
"S21","5cm-end",7.43,10
"S47","0-5cm",8.13,10
"S47","5cm-end",7.14,10
"S89","0-5cm",6.91,
"S89","5cm-end",7.08,
"S25","0-5cm",212.07,31.21
"S25","5cm-end",177.78,27.79
"S58","0-5cm",78.47,17.85
"S58","5cm-end",66.52,16.67
"S92","0-5cm",81.69,18.2
"S92","5cm-end",72.81,17.28
"C2","0-5cm",4.81,10.02
"C2","5cm-end",6.67,9.98
"C31","0-5cm",6.7,10.02
"C31","5cm-end",40.31,10.01
"C36","0-5cm",70,10.01
"C36","5cm-end",53.15,9.97
"C38","0-5cm",99.13,9.98
"C38","5cm-end",118.81,10.05
"C40","0-5cm",92.86,9.95
"C40","5cm-end",64.44,9.98
"C42","0-5cm",212.86,10.05
"C42","5cm-end",135.11,9.98
"C58","0-5cm",170.37,10.04
"C58","5cm-end",247.76,10.02
"C74","0-5cm",72.66,9.98
"C74","5cm-end",19.5,9.98
"C10","0-5cm",3.32,10
"C10","5cm-end",2.72,10
"C17","0-5cm",,
"C17","5cm-end",5.13,10
"C5","0-5cm",5.88,9.98
"C5","5cm-end",1.87,9.98
"C51","0-5cm",15.82,7.56
"C51","5cm-end",6.25,10
"C54A","0-5cm",15.09,10.01
"C54A","5cm-end",7.04,10
"C59","0-5cm",13.9,10.01
"C59","5cm-end",16.35,9.99
"C63","0-5cm",11.48,8.65
"C63","5cm-end",1.33,9.99
"S17","0-5cm",90.27,9.99
"S17","5cm-end",70.23,9.99
"S2","0-5cm",76.52,9.99
"S2","5cm-end",82.55,10.02
"S31","0-5cm",58.09,10.02
"S31","5cm-end",76.19,10
"S36","0-5cm",34,9.98
"S36","5cm-end",73.45,9.99
"S48","0-5cm",75.18,10.01
"S48","5cm-end",75.83,9.97
"S51","0-5cm",53.52,10.01
"S51","5cm-end",55.56,9.98
"S59","0-5cm",54.42,10.03
"S59","5cm-end",8.25,9.99
"S60","0-5cm",2.76,9.99
"S60","5cm-end",8.65,9.98
"S75","0-5cm",8.82,10.03
"S75","5cm-end",12.82,9.96
"S1","0-5cm",1.31,10.02
"S1","5cm-end",1.22,9.98
"S10","0-5cm",2.34,9.99
"S10","5cm-end",0.92,10.02
"S38","0-5cm",4.15,9.99
"S38","5cm-end",1.01,10.03
"S40","0-5cm",1.36,9.95
"S40","5cm-end",0.83,9.98
"S42","0-5cm",1.21,10.02
"S42","5cm-end",1.76,10.03
"S5","0-5cm",1.01,10.05
"S5","5cm-end",0.66,9.99
"S55","0-5cm",1.29,10.03
"S55","5cm-end",0.92,10.01
"S64","0-5cm",0.99,9.98
"S64","5cm-end",,10
