Sample,Core_no,coreID,Depth,POM,POM_ID
,47,S47,0-5 cm,POM,POM185
,47,S47,0-5 cm,non-POM,POM186
,47,S47,5cm-end,POM,POM187
,47,S47,5cm-end,non-POM,POM188
,48,S48,0-5 cm,POM,POM189
,48,S48,0-5 cm,non-POM,POM190
,48,S48,5cm-end,POM,POM191
,48,S48,5cm-end,non-POM,POM192
,49,S49,0-5 cm,POM,POM193
,49,S49,0-5 cm,non-POM,POM194
,49,S49,5cm-end,POM,POM195
,49,S49,5cm-end,non-POM,POM196
,50,S50,0-5 cm,POM,POM197
,50,S50,0-5 cm,non-POM,POM198
,50,S50,5cm-end,POM,POM199
,50,S50,5cm-end,non-POM,POM200
,51,S51,0-5 cm,POM,POM201
,51,S51,0-5 cm,non-POM,POM202
,51,S51,5cm-end,POM,POM203
,51,S51,5cm-end,non-POM,POM204
,52,S52,0-5 cm,POM,POM205
,52,S52,0-5 cm,non-POM,POM206
,52,S52,5cm-end,POM,POM207
,52,S52,5cm-end,non-POM,POM208
,53,S53,0-5 cm,POM,POM209
,53,S53,0-5 cm,non-POM,POM210
,53,S53,5cm-end,POM,POM211
,53,S53,5cm-end,non-POM,POM212
,54,S54,0-5 cm,POM,POM213
,54,S54,0-5 cm,non-POM,POM214
,54,S54,5cm-end,POM,POM215
,54,S54,5cm-end,non-POM,POM216
,55,S55,0-5 cm,POM,POM217
,55,S55,0-5 cm,non-POM,POM218
,55,S55,5cm-end,POM,POM219
,55,S55,5cm-end,non-POM,POM220
,56,S56,0-5 cm,POM,POM221
,56,S56,0-5 cm,non-POM,POM222
,56,S56,5cm-end,POM,POM223
,56,S56,5cm-end,non-POM,POM224
,57,S57,0-5 cm,POM,POM225
,57,S57,0-5 cm,non-POM,POM226
,57,S57,5cm-end,POM,POM227
,57,S57,5cm-end,non-POM,POM228
,58,S58,0-5 cm,POM,POM229
,58,S58,0-5 cm,non-POM,POM230
,58,S58,5cm-end,POM,POM231
,58,S58,5cm-end,non-POM,POM232
,59,S59,0-5 cm,POM,POM233
,59,S59,0-5 cm,non-POM,POM234
,59,S59,5cm-end,POM,POM235
,59,S59,5cm-end,non-POM,POM236
,60,S60,0-5 cm,POM,POM237
,60,S60,0-5 cm,non-POM,POM238
,60,S60,5cm-end,POM,POM239
,60,S60,5cm-end,non-POM,POM240
,61,S61,0-5 cm,POM,POM241
,61,S61,0-5 cm,non-POM,POM242
,61,S61,5cm-end,POM,POM243
,61,S61,5cm-end,non-POM,POM244
