"DATETIME","ALARM_STATUS","MPVPosition","CH4_dry","CO2_dry","h2o_reported","Sample_number","Elapsed_seconds","Core"
2018-12-04 19:12:16,0,5,1.7489736102,952.09139309,2.9186518319,443,93,"5"
2018-12-04 19:12:21,0,5,1.8375702529,799.28295021,2.9157070096,443,98,"5"
2018-12-04 19:13:30,0,6,1.9887258969,486.03546286,0.76206583822,445,0,"6"
2018-12-04 19:13:34,0,6,2.0115822933,1204.9540491,2.8733135961,445,4,"6"
2018-12-04 19:13:38,0,6,2.0115822933,1204.9540491,2.8733135961,445,8,"6"
2018-12-04 19:13:57,0,6,2.0115822933,1204.9540491,2.8733135961,445,27,"6"
2018-12-04 19:14:01,0,6,1.3433725601,1409.6434157,2.904447533,445,31,"6"
2018-12-04 19:14:03,0,6,1.3433725601,1409.6434157,2.904447533,445,33,"6"
2018-12-04 19:14:04,0,6,1.3433725601,1409.6434157,2.904447533,445,34,"6"
2018-12-04 19:14:08,0,6,1.7574525327,1021.383425,2.905967881,445,38,"6"
2018-12-04 19:14:12,0,6,1.7574525327,1021.383425,2.905967881,445,42,"6"
2018-12-04 19:14:31,0,6,1.7574525327,1021.383425,2.905967881,445,61,"6"
2018-12-04 19:14:35,0,6,1.7999813389,876.51810415,2.9187678854,445,65,"6"
2018-12-04 19:14:38,0,6,1.7999813389,876.51810415,2.9187678854,445,68,"6"
2018-12-04 19:14:57,0,6,1.7999813389,876.51810415,2.9187678854,445,87,"6"
2018-12-04 19:15:01,0,6,1.8852976388,740.72094838,2.9198385728,445,91,"6"
2018-12-04 19:15:51,0,7,1.8906566998,587.60749436,0.76933802746,447,0,"8"
2018-12-04 19:15:55,0,7,2.0103533865,765.11648433,2.8297224589,447,4,"8"
2018-12-04 19:15:56,0,7,2.0103533865,765.11648433,2.8297224589,447,5,"8"
2018-12-04 19:15:57,0,7,2.0103533865,765.11648433,2.8297224589,447,6,"8"
2018-12-04 19:16:02,0,7,0.67206405086,1012.2761941,2.8598251455,447,11,"8"
2018-12-04 19:16:03,0,7,0.67206405086,1012.2761941,2.8598251455,447,12,"8"
2018-12-04 19:16:04,0,7,0.67206405086,1012.2761941,2.8598251455,447,13,"8"
2018-12-04 19:16:09,0,7,0.97830687251,918.31424184,2.8753820446,447,18,"8"
2018-12-04 19:16:11,0,7,0.97830687251,918.31424184,2.8753820446,447,20,"8"
2018-12-04 19:16:12,0,7,0.97830687251,918.31424184,2.8753820446,447,21,"8"
2018-12-04 19:16:16,0,7,1.2487363311,825.44221183,2.8875858012,447,25,"8"
2018-12-04 19:16:19,0,7,1.2487363311,825.44221183,2.8875858012,447,28,"8"
2018-12-04 19:16:38,0,7,1.2487363311,825.44221183,2.8875858012,447,47,"8"
2018-12-04 19:16:42,0,7,1.4339001597,699.24102575,2.9113701564,447,51,"8"
2018-12-04 19:16:44,0,7,1.4339001597,699.24102575,2.9113701564,447,53,"8"
2018-12-04 19:16:45,0,7,1.4339001597,699.24102575,2.9113701564,447,54,"8"
2018-12-04 19:16:49,0,7,1.7354883758,621.7556337,2.9147681327,447,58,"8"
2018-12-04 19:16:52,0,7,1.7354883758,621.7556337,2.9147681327,447,61,"8"
2018-12-04 19:17:11,0,7,1.7354883758,621.7556337,2.9147681327,447,80,"8"
2018-12-04 19:17:15,0,7,1.7674516071,592.2850037,2.9285224866,447,84,"8"
2018-12-04 19:17:19,0,7,1.7674516071,592.2850037,2.9285224866,447,88,"8"
2018-12-04 19:18:11,0,8,1.9640969314,559.5619257,0.82480275866,449,0,"9"
2018-12-04 19:18:14,0,8,2.0018025355,534.49773404,2.2640615327,449,3,"9"
2018-12-04 19:18:15,0,8,2.0018025355,534.49773404,2.2640615327,449,4,"9"
2018-12-04 19:18:16,0,8,2.0018025355,534.49773404,2.2640615327,449,5,"9"
2018-12-04 19:18:21,0,8,1.5365879429,1119.003794,2.8217072029,449,10,"9"
2018-12-04 19:18:25,0,8,1.5365879429,1119.003794,2.8217072029,449,14,"9"
2018-12-04 19:18:44,0,8,1.5365879429,1119.003794,2.8217072029,449,33,"9"
2018-12-04 19:18:48,0,8,0.66035187331,1656.7115245,2.9129882904,449,37,"9"
2018-12-04 19:18:50,0,8,0.66035187331,1656.7115245,2.9129882904,449,39,"9"
2018-12-04 19:18:50,0,8,0.66035187331,1656.7115245,2.9129882904,449,39,"9"
2018-12-04 19:18:55,0,8,1.3865741886,1218.2539672,2.9156635123,449,44,"9"
2018-12-04 19:18:57,0,8,1.3865741886,1218.2539672,2.9156635123,449,46,"9"
2018-12-04 19:18:58,0,8,1.3865741886,1218.2539672,2.9156635123,449,47,"9"
2018-12-04 19:19:02,0,8,1.4639466035,1143.2689088,2.9180008519,449,51,"9"
2018-12-04 19:19:06,0,8,1.4639466035,1143.2689088,2.9180008519,449,55,"9"
2018-12-04 19:19:25,0,8,1.4639466035,1143.2689088,2.9180008519,449,74,"9"
2018-12-04 19:19:28,0,8,1.5293247672,1017.9469411,2.9270022787,449,77,"9"
2018-12-04 19:19:32,0,8,1.5293247672,1017.9469411,2.9270022787,449,81,"9"
2018-12-04 19:19:50,0,8,1.5293247672,1017.9469411,2.9270022787,449,99,"9"
2018-12-04 19:19:54,0,8,1.7080620334,875.56130162,2.9293070832,449,103,"9"
2018-12-04 19:20:50,0,9,1.9861857719,500.86855978,0.76555034614,451,0,"10"
2018-12-04 19:20:54,0,9,2.0102280071,1302.8906474,2.9092132737,451,4,"10"
2018-12-04 19:20:58,0,9,2.0102280071,1302.8906474,2.9092132737,451,8,"10"
2018-12-04 19:21:18,0,9,2.0102280071,1302.8906474,2.9092132737,451,28,"10"
2018-12-04 19:21:22,0,9,0.84155960649,1668.8520409,2.9502798536,451,32,"10"
2018-12-04 19:21:26,0,9,0.84155960649,1668.8520409,2.9502798536,451,36,"10"
2018-12-04 19:21:45,0,9,0.84155960649,1668.8520409,2.9502798536,451,55,"10"
2018-12-04 19:21:49,0,9,1.5928050953,1048.9340979,2.953841167,451,59,"10"
2018-12-04 19:21:51,0,9,1.5928050953,1048.9340979,2.953841167,451,61,"10"
2018-12-04 19:21:52,0,9,1.5928050953,1048.9340979,2.953841167,451,62,"10"
2018-12-04 19:21:55,0,9,1.8248269364,859.98305583,2.9559023978,451,65,"10"
