Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
238.38744391276,0,0,0,0,0,0,0,0,,None,239.39472037964,0,0,NA,NA,NA,NA,NA,NA,NA,238.121258363233,0.878741636767472,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.397273521896,0,0,0,0,0,0,0,0,,None,239.404549988776,0,0,NA,NA,NA,NA,NA,NA,NA,238.131076996539,0.86892300346085,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.504908726462,0,0,0,0,0,0,0,0,,None,239.512185193342,0,0,NA,NA,NA,NA,NA,NA,NA,238.238592014674,0.76140798532586,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.514518169435,0,0,0,0,0,0,0,0,,None,239.521794636315,0,0,NA,NA,NA,NA,NA,NA,NA,238.248190727657,0.751809272342712,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.551526808541,0,0,0,0,0,0,0,0,,None,239.558803275421,0,0,NA,NA,NA,NA,NA,NA,NA,238.285158042586,0.714841957413739,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.561446251179,0,0,0,0,0,0,0,0,,None,239.568722718059,0,0,NA,NA,NA,NA,NA,NA,NA,238.295066409086,0.70493359091401,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.753362167058,0,0,0,0,0,0,0,0,,None,239.760638633938,0,0,NA,NA,NA,NA,NA,NA,NA,238.486768029939,0.513231970061213,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.829583531718,0,0,0,0,0,0,0,0,,None,239.836859998598,0,0,NA,NA,NA,NA,NA,NA,NA,238.562904285142,0.437095714857918,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.845203785516,0,0,0,0,0,0,0,0,,None,239.852480252396,0,0,NA,NA,NA,NA,NA,NA,NA,238.578507097225,0.421492902774844,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.852062573638,0,0,0,0,0,0,0,0,,None,239.859339040518,0,0,NA,NA,NA,NA,NA,NA,NA,238.585358226763,0.414641773236923,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.873828010369,0,0,0,0,0,0,0,0,,None,239.881104477249,0,0,NA,NA,NA,NA,NA,NA,NA,238.607099360013,0.392900639987005,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.894346621185,0,0,0,0,0,0,0,0,,None,239.901623088065,0,0,NA,NA,NA,NA,NA,NA,NA,238.627595059565,0.37240494043516,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.955959154151,0,0,0,0,0,0,0,0,,None,239.963235621031,0,0,NA,NA,NA,NA,NA,NA,NA,238.689138795426,0.310861204573882,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.960591715038,6,9,4,0,0,2,1,0,CHOSP,AminoSugar,239.967868181918,0.493755198379268,1,C6H9O4S2P,0,0,3,-1,-4,69.8,238.693766183554,0.306233816445769,-0.333333333333333,0.666666666666667,1.5,0,0.166666666666667,0,Amino Sugar,Amino Sugar,Other
238.962690523236,0,0,0,0,0,0,0,0,,None,239.969966990116,0,0,NA,NA,NA,NA,NA,NA,NA,238.695862648204,0.30413735179576,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.962974758256,13,4,1,0,0,2,0,0,CHOS,ConHC,239.970251225136,0.437159869752512,1,C13H4OS2,0.9,0.904761904761905,12,11,9,55.9153846153846,238.696146565845,0.303853434155116,0.153846153846154,0.0769230769230769,0.307692307692308,0,0,NA,Other,Cond Hydrocarbon,Other
238.972823690626,0,0,0,0,0,0,0,0,,None,239.980100157506,0,0,NA,NA,NA,NA,NA,NA,NA,238.705984500809,0.294015499190976,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.979986814861,0,0,0,0,0,0,0,0,,None,239.987263281741,0,0,NA,NA,NA,NA,NA,NA,NA,238.713139626635,0.286860373364505,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.988264297277,0,0,0,0,0,0,0,0,,None,239.995540764157,0,0,NA,NA,NA,NA,NA,NA,NA,238.721407866341,0.278592133659316,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.002024134432,10,8,5,0,0,1,0,0,CHOS,Lignin,240.009300601312,-0.235590921847991,1,C10H8O5S,0.25,0.538461538461538,7,2,1,48.9,238.735152339139,0.26484766086142,0.4,0.5,0.8,0,0,NA,Cond Hydrocarbon,Lignin,Other
239.009117873763,0,0,0,0,0,0,0,0,,None,240.016394340643,0,0,NA,NA,NA,NA,NA,NA,NA,238.742238157537,0.25776184246314,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.013125490523,9,8,4,2,0,1,0,0,CHONS,Lignin,240.020401957403,0.31450742029897,1,C9H8O4N2S,0,0.5,7,3,0,34.9666666666667,238.746241299356,0.253758700643772,0.888888888888889,0.444444444444444,0.888888888888889,0.222222222222222,0,NA,Lignin,Lignin,Other
239.013356390668,0,0,0,0,0,0,0,0,,None,240.020632857548,0,0,NA,NA,NA,NA,NA,NA,NA,238.746471941676,0.253528058323951,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.016341914153,0,0,0,0,0,0,0,0,,None,240.023618381033,0,0,NA,NA,NA,NA,NA,NA,NA,238.749454131499,0.250545868501149,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.019737794253,10,8,7,0,0,0,0,0,CHO,Tannin,240.027014261133,-0.0485346737344927,1,C10H8O7,0,0.538461538461538,7,0,0,43.2,238.752846219729,0.247153780271219,0.6,0.7,0.8,0,0,NA,Tannin;Cond Hydrocarbon,Tannin,Other
239.030938480932,9,8,6,2,0,0,0,0,CHON,Tannin,240.038214947812,0.0877026522205889,1,C9H8O6N2,0,0.5,7,1,-1,28.6333333333333,238.764034399621,0.235965600379018,1.11111111111111,0.666666666666667,0.888888888888889,0.222222222222222,0,NA,Tannin,Tannin,Other
239.034992584573,14,8,4,0,0,0,0,0,CHO,ConHC,240.042269051453,-0.0429351569886796,1,C14H8O4,0.7,0.75,11,7,7,60.3,238.768083976414,0.231916023586365,0,0.285714285714286,0.571428571428571,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
239.049545338114,10,12,3,2,0,1,0,0,CHONS,Lignin,240.056821804994,0.171404861933464,1,C10H12O3N2S,0,0.272727272727273,6,3,0,54.6,238.78262048022,0.217379519779968,0.2,0.3,1.2,0.2,0,NA,Lignin,Lignin,Protein
239.050577931816,0,0,0,0,0,0,0,0,,None,240.057854398696,0,0,NA,NA,NA,NA,NA,NA,NA,238.783651920919,0.216348079081314,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.052634081776,0,0,0,0,0,0,0,0,,None,240.059910548656,0,0,NA,NA,NA,NA,NA,NA,NA,238.785705774963,0.214294225036724,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.05281531741,0,0,0,0,0,0,0,0,,None,240.06009178429,0,0,NA,NA,NA,NA,NA,NA,NA,238.785886808228,0.214113191772071,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.055497861696,0,0,0,0,0,0,0,0,,None,240.062774328576,0,0,NA,NA,NA,NA,NA,NA,NA,238.788566357161,0.211433642838983,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.056126424901,11,12,6,0,0,0,0,0,CHO,Lignin,240.063402891781,-0.0615419975329847,1,C11H12O6,0,0.375,6,0,0,60.3,238.789194218507,0.210805781493264,0,0.545454545454545,1.09090909090909,0,0,NA,Lignin,Lignin,Other
239.059494102764,8,16,6,0,0,1,0,0,CHOS,Carb,240.066770569644,-0.0484592005920301,1,C8H16O6S,0,0,1,-5,-6,67.425,238.792558135991,0.207441864009439,-0.25,0.75,2,0,0,NA,Carbohydrate,Carbohydrate,Other
239.060571168594,0,0,0,0,0,0,0,0,,None,240.067847635474,0,0,NA,NA,NA,NA,NA,NA,NA,238.793633999159,0.206366000840774,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.061346228457,0,0,0,0,0,0,0,0,,None,240.068622695337,0,0,NA,NA,NA,NA,NA,NA,NA,238.794408193583,0.20559180641655,NA,NA,NA,NA,NA,NA,NA,NA,NA
